Time,Cell,F,biting,bitepoint
0.0,C00,-0.3457938,0,0
0.0999201126257708,C00,0.5465109,0,0
0.1998402252515417,C00,1.714466,0,0
0.2997603378773125,C00,5.063562,0,0
0.3996804505030834,C00,6.035761,0,0
0.4996005631288543,C00,6.973578,0,0
0.5995206757546251,C00,6.715804,0,0
0.699440788380396,C00,5.499601,0,0
0.7993609010061669,C00,4.868104,0,0
0.8992810136319377,C00,7.353133,0,0
0.9992011262577084,C00,7.243285,0,0
1.099121238883479,C00,8.561188,0,0
1.19904135150925,C00,5.704055,0,0
1.298961464135021,C00,4.633687,0,0
1.398881576760792,C00,4.038732,0,0
1.498801689386563,C00,4.998475,0,0
1.598721802012334,C00,4.42378,0,0
1.698641914638104,C00,4.330064,0,0
1.798562027263875,C00,3.857445,0,0
1.898482139889646,C00,2.680268,0,0
1.998402252515417,C00,3.26407,0,0
2.098322365141188,C00,3.037691,0,0
2.198242477766959,C00,3.148291,0,0
2.29816259039273,C00,2.233443,0,0
2.3980827030185,C00,3.217947,0,0
2.498002815644271,C00,1.593032,0,0
2.597922928270042,C00,2.444407,0,0
2.697843040895813,C00,3.197715,0,0
2.797763153521584,C00,3.097289,0,0
2.897683266147355,C00,2.074727,0,0
2.997603378773126,C00,4.210053,0,0
3.097523491398896,C00,3.312875,0,0
3.197443604024667,C00,2.636523,0,0
3.297363716650438,C00,1.938944,0,0
3.397283829276209,C00,2.456108,0,0
3.49720394190198,C00,3.349024,0,0
3.597124054527751,C00,3.10728,0,0
3.697044167153522,C00,1.750594,0,0
3.796964279779293,C00,1.760317,0,0
3.896884392405063,C00,2.514167,0,0
3.996804505030834,C00,3.15301,0,0
4.096724617656605,C00,2.765509,0,0
4.196644730282376,C00,3.245892,0,0
4.296564842908147,C00,2.108206,0,0
4.396484955533918,C00,2.996619,0,0
4.496405068159689,C00,1.955467,0,0
4.59632518078546,C00,2.366904,0,0
4.69624529341123,C00,2.499917,0,0
4.796165406037001,C00,3.318564,0,0
4.896085518662772,C00,1.860325,0,0
4.996005631288543,C00,2.192484,0,0
5.095925743914314,C00,1.631144,0,0
5.195845856540084,C00,0.8927803,0,0
5.295765969165855,C00,1.313832,0,0
5.395686081791626,C00,1.746924,0,0
5.495606194417397,C00,2.396499,0,0
5.595526307043168,C00,2.100109,0,0
5.695446419668938,C00,3.488681,0,0
5.795366532294709,C00,3.524916,0,0
5.89528664492048,C00,1.156829,0,0
5.995206757546251,C00,1.863164,0,0
6.095126870172022,C00,2.328779,0,0
6.195046982797793,C00,2.658678,0,0
6.294967095423564,C00,2.062974,0,0
6.394887208049335,C00,2.185172,0,0
6.494807320675106,C00,2.51539,0,0
6.594727433300877,C00,1.271675,0,0
6.694647545926647,C00,1.945427,0,0
6.794567658552418,C00,2.469268,0,0
6.894487771178189,C00,1.998503,0,0
6.99440788380396,C00,2.222075,0,0
7.094327996429731,C00,3.019789,0,0
7.194248109055501,C00,2.523601,0,0
7.294168221681272,C00,1.234107,0,0
7.394088334307043,C00,-0.1653598,0,0
7.494008446932814,C00,1.485348,0,0
7.593928559558585,C00,2.346289,0,0
7.693848672184355,C00,1.035549,0,0
7.793768784810126,C00,0.6962765,0,0
7.893688897435897,C00,2.665141,0,0
7.993609010061668,C00,1.775627,0,0
8.093529122687439,C00,2.615618,0,0
8.19344923531321,C00,2.611968,0,0
8.293369347938981,C00,1.148639,0,0
8.393289460564752,C00,0.8492212,0,0
8.493209573190523,C00,1.121998,0,0
8.593129685816294,C00,1.185738,0,0
8.693049798442065,C00,1.543315,0,0
8.792969911067836,C00,1.26701,0,0
8.892890023693607,C00,1.466851,0,0
8.992810136319378,C00,0.8503267,0,0
9.092730248945148,C00,2.082457,0,0
9.19265036157092,C00,1.67147,0,0
9.292570474196689,C00,1.126954,0,0
9.39249058682246,C00,2.594726,0,0
9.49241069944823,C00,0.563235,0,0
9.592330812074,C00,1.694923,0,0
9.692250924699772,C00,1.929753,0,0
9.792171037325543,C00,1.125649,0,0
9.892091149951314,C00,2.68568,0,0
9.992011262577083,C00,1.767987,0,0
10.09193137520286,C00,0.5222316,0,0
10.19185148782863,C00,1.741871,0,0
