Time,Cell,F,biting,bitepoint
0.0,C00,0.8924925,0,0
0.0999200550197628,C00,3.832127,0,0
0.1998401100395257,C00,2.538385,0,0
0.2997601650592885,C00,2.156964,0,0
0.3996802200790514,C00,0.8886728,0,0
0.4996002750988142,C00,1.721585,0,0
0.5995203301185771,C00,1.671428,0,0
0.69944038513834,C00,1.948546,0,0
0.7993604401581028,C00,1.69534,0,0
0.8992804951778656,C00,2.048457,0,0
0.9992005501976284,C00,0.5389902,0,0
1.099120605217391,C00,-0.2423021,0,0
1.199040660237154,C00,0.137361,0,0
1.298960715256917,C00,-0.2465511,0,0
1.39888077027668,C00,-0.4507183,0,0
1.498800825296443,C00,0.8600323,0,0
1.598720880316206,C00,0.9882233,0,0
1.698640935335968,C00,-0.9067363,0,0
1.798560990355731,C00,-0.8504866,0,0
1.898481045375494,C00,1.208831,0,0
1.998401100395257,C00,0.4371789,0,0
2.09832115541502,C00,1.536765,0,0
2.198241210434783,C00,0.5901013,0,0
2.298161265454545,C00,0.3140925,1,1
2.398081320474308,C00,0.803677,1,0
2.498001375494071,C00,1.50172,1,0
2.597921430513834,C00,3.372608,1,0
2.697841485533597,C00,0.8665978,1,0
2.79776154055336,C00,3.709271,1,0
2.897681595573122,C00,3.685532,1,0
2.997601650592885,C00,0.5934714,1,0
3.097521705612648,C00,1.968466,1,0
3.197441760632411,C00,0.6810679,1,0
3.297361815652174,C00,2.362351,1,0
3.397281870671937,C00,1.50177,1,0
3.4972019256917,C00,1.813638,1,0
3.597121980711462,C00,1.407512,1,0
3.697042035731225,C00,1.922789,1,0
3.796962090750988,C00,1.561048,1,0
3.896882145770751,C00,2.789077,1,0
3.996802200790514,C00,4.855201,1,0
4.096722255810277,C00,3.028636,1,0
4.19664231083004,C00,3.363473,1,0
4.296562365849803,C00,4.807495,1,0
4.396482420869566,C00,3.416166,1,0
4.496402475889328,C00,1.979919,1,0
4.596322530909091,C00,3.087482,1,0
4.696242585928854,C00,2.957705,1,0
4.796162640948617,C00,1.068035,1,0
4.89608269596838,C00,1.175548,1,0
4.996002750988143,C00,3.374353,1,0
5.095922806007905,C00,1.337811,1,0
5.195842861027668,C00,0.7055081,1,0
5.295762916047431,C00,1.983524,1,0
5.395682971067194,C00,2.888839,1,0
5.495603026086957,C00,1.625288,1,0
5.59552308110672,C00,0.03593191,1,0
5.695443136126483,C00,1.561116,1,0
5.795363191146245,C00,1.166007,1,0
5.895283246166008,C00,1.165959,1,0
5.995203301185771,C00,0.1884652,1,0
6.095123356205534,C00,2.806628,1,0
6.195043411225297,C00,1.760663,1,0
6.29496346624506,C00,2.534993,1,0
6.394883521264823,C00,2.129228,1,0
6.494803576284585,C00,1.233235,1,0
6.594723631304348,C00,2.648141,1,0
6.694643686324111,C00,2.515305,1,0
6.794563741343874,C00,3.018611,1,0
6.894483796363637,C00,3.188186,1,0
6.994403851383399,C00,3.170861,1,0
7.094323906403162,C00,0.6586255,1,0
7.194243961422925,C00,3.495528,1,0
7.294164016442688,C00,0.3980299,1,0
7.394084071462451,C00,0.7862808,1,0
7.494004126482213,C00,1.302511,1,0
7.593924181501976,C00,0.09532852,1,0
7.693844236521739,C00,0.1676385,1,0
7.793764291541502,C00,2.018406,1,0
7.893684346561264,C00,1.001401,1,0
7.993604401581027,C00,1.73191,1,0
8.093524456600791,C00,2.837242,1,0
8.193444511620553,C00,1.553624,1,0
8.293364566640316,C00,-0.2980905,1,0
8.39328462166008,C00,2.655332,1,0
8.493204676679841,C00,2.286074,1,0
8.593124731699605,C00,2.810939,1,0
8.693044786719367,C00,1.479935,1,0
8.792964841739131,C00,1.508904,1,0
8.892884896758893,C00,1.455593,1,0
8.992804951778655,C00,-0.2760281,1,0
9.09272500679842,C00,1.658507,1,0
9.19264506181818,C00,0.4007476,1,0
9.292565116837944,C00,0.2947079,1,0
9.392485171857707,C00,-0.2691411,1,0
9.492405226877471,C00,-1.127966,1,0
9.592325281897232,C00,1.266619,1,0
9.692245336916995,C00,3.203477,1,0
9.79216539193676,C00,2.3643,1,0
9.89208544695652,C00,2.096602,1,0
9.992005501976283,C00,2.482785,1,0
10.09192555699605,C00,1.584875,1,0
10.19184561201581,C00,1.012869,1,0
10.29176566703557,C00,1.667899,1,0
10.39168572205534,C00,0.9321108,1,0
10.4916057770751,C00,2.941008,1,0
10.59152583209486,C00,3.038561,1,0
10.69144588711463,C00,1.749882,1,0
10.79136594213439,C00,3.138617,1,0
10.89128599715415,C00,0.9927893,1,0
10.99120605217391,C00,0.5271641,1,0
11.09112610719368,C00,3.299736,1,0
11.19104616221344,C00,2.199878,1,0
11.2909662172332,C00,3.113525,1,0
11.39088627225297,C00,0.7300439,1,0
11.49080632727273,C00,2.582797,1,0
11.59072638229249,C00,1.535153,1,0
11.69064643731225,C00,2.042981,1,0
11.79056649233202,C00,0.7642524,1,0
11.89048654735178,C00,2.952726,1,0
11.99040660237154,C00,1.683881,1,0
12.09032665739131,C00,0.4214413,1,0
12.19024671241107,C00,2.362308,1,0
12.29016676743083,C00,-0.1276092,1,0
12.39008682245059,C00,2.175369,1,0
12.49000687747036,C00,2.30023,1,0
12.58992693249012,C00,0.8914228,1,0
12.68984698750988,C00,1.594802,1,0
12.78976704252965,C00,1.63898,1,0
12.88968709754941,C00,3.884042,1,0
12.98960715256917,C00,1.639268,1,0
13.08952720758893,C00,1.189223,1,0
13.1894472626087,C00,0.1062327,1,0
13.28936731762846,C00,2.833883,1,0
13.38928737264822,C00,2.191048,1,0
13.48920742766798,C00,3.648944,1,0
13.58912748268775,C00,3.253405,1,0
13.68904753770751,C00,1.791809,1,0
13.78896759272727,C00,1.780097,1,0
13.88888764774704,C00,2.383459,1,0
13.9888077027668,C00,2.204808,1,0
14.08872775778656,C00,0.7206067,1,0
14.18864781280632,C00,0.322364,1,0
14.28856786782609,C00,1.226586,1,0
14.38848792284585,C00,2.5546,1,0
14.48840797786561,C00,1.762634,1,0
14.58832803288538,C00,1.933581,1,0
14.68824808790514,C00,2.351247,1,0
14.7881681429249,C00,-0.4368948,1,0
14.88808819794466,C00,-0.2180692,1,0
14.98800825296443,C00,1.506123,1,0
15.08792830798419,C00,1.037125,1,0
15.18784836300395,C00,0.4754709,1,0
15.28776841802372,C00,0.3614836,1,0
15.38768847304348,C00,2.807099,1,0
15.48760852806324,C00,4.442123,1,0
15.587528583083,C00,4.634529,1,0
15.68744863810277,C00,4.160202,1,0
15.78736869312253,C00,6.835883,1,0
15.88728874814229,C00,4.915928,1,0
15.98720880316205,C00,2.721703,1,0
16.08712885818182,C00,3.766484,1,0
16.18704891320158,C00,4.409736,1,0
16.28696896822134,C00,2.107568,1,0
16.38688902324111,C00,4.202558,1,0
16.48680907826087,C00,1.74185,1,0
16.58672913328063,C00,1.848017,1,0
16.6866491883004,C00,2.156398,1,0
16.78656924332016,C00,3.59434,1,0
16.88648929833992,C00,0.8591871,1,0
16.98640935335968,C00,2.19558,1,0
17.08632940837945,C00,1.340832,1,0
17.18624946339921,C00,1.044105,1,0
17.28616951841897,C00,3.335569,1,0
17.38608957343873,C00,0.7545298,1,0
17.4860096284585,C00,0.7854041,1,0
17.58592968347826,C00,1.961316,1,0
17.68584973849802,C00,1.642023,1,0
17.78576979351779,C00,0.7128291,1,0
17.88568984853755,C00,2.455616,1,0
17.98560990355731,C00,1.401155,1,0
18.08552995857708,C00,1.609336,1,0
18.18545001359684,C00,1.5882,1,0
18.2853700686166,C00,-0.7709838,1,0
18.38529012363636,C00,3.841763,1,0
18.48521017865612,C00,1.415009,1,0
18.58513023367589,C00,3.494149,1,0
18.68505028869565,C00,2.752475,1,0
18.78497034371541,C00,2.511554,1,0
18.88489039873518,C00,5.234232,1,0
18.98481045375494,C00,2.062303,1,0
19.0847305087747,C00,2.417283,0,0
19.18465056379447,C00,3.044977,0,0
19.28457061881423,C00,3.219212,0,0
19.38449067383399,C00,0.6348562,0,0
19.48441072885376,C00,2.396845,0,0
19.58433078387352,C00,1.67806,0,0
19.68425083889328,C00,0.9078259,0,0
19.78417089391304,C00,0.3467262,0,0
19.8840909489328,C00,0.6128312,0,0
19.98401100395257,C00,1.628385,0,0
20.08393105897233,C00,0.932664,0,0
20.18385111399209,C00,3.518148,0,0
20.28377116901186,C00,4.6265,0,0
20.38369122403162,C00,1.549453,0,0
20.48361127905138,C00,1.161041,0,0
20.58353133407115,C00,2.584399,0,0
20.68345138909091,C00,1.891997,0,0
20.78337144411067,C00,0.507084,0,0
20.88329149913044,C00,2.495399,0,0
20.9832115541502,C00,3.495083,0,0
21.08313160916996,C00,3.607641,0,0
21.18305166418972,C00,1.425021,1,0
21.28297171920948,C00,4.789694,1,1
21.38289177422925,C00,3.703135,1,0
21.48281182924901,C00,2.024603,1,0
21.58273188426877,C00,3.00791,1,0
21.68265193928854,C00,0.09450003,1,0
21.7825719943083,C00,1.504562,1,0
21.88249204932806,C00,3.307911,1,0
21.98241210434783,C00,1.684826,1,0
22.08233215936759,C00,-0.1661075,1,0
22.18225221438735,C00,0.3907672,1,0
22.28217226940712,C00,2.590875,1,0
22.38209232442688,C00,1.805706,1,0
22.48201237944664,C00,2.382956,1,0
22.5819324344664,C00,1.284058,1,0
22.68185248948616,C00,2.027787,1,0
22.78177254450593,C00,2.490355,1,0
22.88169259952569,C00,0.6696378,1,0
22.98161265454545,C00,2.426483,1,0
23.08153270956522,C00,0.5519872,1,0
23.18145276458498,C00,2.045582,1,0
23.28137281960474,C00,2.156817,1,0
23.38129287462451,C00,2.602835,1,0
23.48121292964427,C00,4.197832,1,0
23.58113298466403,C00,0.499217,1,0
23.6810530396838,C00,0.8968818,1,0
23.78097309470356,C00,-0.8945629,1,0
23.88089314972332,C00,2.275983,1,0
23.98081320474308,C00,0.7099896,1,0
24.08073325976284,C00,1.658146,1,0
24.18065331478261,C00,3.602461,1,0
24.28057336980237,C00,3.182128,1,0
24.38049342482213,C00,3.203741,1,0
24.4804134798419,C00,3.156636,1,0
24.58033353486166,C00,2.439805,1,0
24.68025358988142,C00,0.9256303,1,0
24.78017364490119,C00,1.412543,1,0
24.88009369992095,C00,2.963328,1,0
24.98001375494071,C00,2.228159,1,0
25.07993380996048,C00,1.731689,1,0
25.17985386498024,C00,3.045862,1,0
25.27977392,C00,-3.166292,1,0
25.37969397501976,C00,1.316559,1,0
25.47961403003952,C00,1.182778,1,0
25.57953408505929,C00,1.330781,1,0
25.67945414007905,C00,1.087016,1,0
25.77937419509881,C00,1.898082,1,0
25.87929425011858,C00,2.451752,1,0
25.97921430513834,C00,1.741101,1,0
26.0791343601581,C00,0.8075284,1,0
26.17905441517787,C00,3.404159,1,0
26.27897447019763,C00,3.305029,1,0
26.37889452521739,C00,2.426054,1,0
26.47881458023715,C00,1.809345,1,0
26.57873463525692,C00,2.299323,1,0
26.67865469027668,C00,-0.7919009,1,0
26.77857474529644,C00,17.33327,1,0
26.8784948003162,C00,27.79298,1,0
26.97841485533597,C00,27.48557,1,0
27.07833491035573,C00,22.43323,1,0
27.17825496537549,C00,20.75171,1,0
27.27817502039526,C00,21.98325,1,0
27.37809507541502,C00,21.35819,1,0
27.47801513043478,C00,19.44103,1,0
27.57793518545455,C00,17.07883,1,0
27.67785524047431,C00,15.0009,1,0
27.77777529549407,C00,14.77323,1,0
27.87769535051383,C00,11.78631,1,0
27.9776154055336,C00,9.899972,1,0
28.07753546055336,C00,9.529907,1,0
28.17745551557312,C00,9.369555,1,0
28.27737557059288,C00,8.976385,1,0
28.37729562561265,C00,8.475198,1,0
28.47721568063241,C00,7.303761,1,0
28.57713573565217,C00,6.961756,1,0
28.67705579067194,C00,5.679068,1,0
28.7769758456917,C00,6.681048,1,0
28.87689590071146,C00,6.719459,1,0
28.97681595573123,C00,6.990332,1,0
29.07673601075099,C00,4.408616,1,0
29.17665606577075,C00,5.606841,1,0
29.27657612079051,C00,4.24187,1,0
29.37649617581028,C00,4.973998,1,0
29.47641623083004,C00,4.755023,1,0
29.5763362858498,C00,1.824569,1,0
29.67625634086956,C00,5.284191,1,0
29.77617639588933,C00,4.582653,1,0
29.87609645090909,C00,5.900742,1,0
29.97601650592885,C00,6.276768,1,0
30.07593656094862,C00,3.747784,1,0
30.17585661596838,C00,4.683688,1,0
30.27577667098814,C00,5.88289,1,0
30.37569672600791,C00,4.930707,1,0
30.47561678102767,C00,3.829129,1,0
30.57553683604743,C00,1.600248,1,0
30.67545689106719,C00,4.967276,1,0
30.77537694608696,C00,3.728167,1,0
30.87529700110672,C00,1.720997,1,0
30.97521705612648,C00,1.788116,1,0
31.07513711114624,C00,4.672282,1,0
31.17505716616601,C00,3.409594,1,0
31.27497722118577,C00,3.628807,1,0
31.37489727620553,C00,2.689009,1,0
31.4748173312253,C00,4.228125,1,0
31.57473738624506,C00,4.383205,1,0
31.67465744126482,C00,4.603586,1,0
31.77457749628459,C00,2.654568,1,0
31.87449755130435,C00,3.475303,1,0
31.97441760632411,C00,5.369895,1,0
32.07433766134388,C00,3.482897,1,0
32.17425771636363,C00,5.419097,1,0
32.2741777713834,C00,3.475708,1,0
32.37409782640317,C00,4.39255,1,0
32.47401788142292,C00,1.038725,1,0
32.57393793644269,C00,4.559703,1,0
32.67385799146245,C00,3.253744,1,0
32.77377804648221,C00,4.270775,1,0
32.87369810150198,C00,4.964451,1,0
32.97361815652174,C00,3.154586,1,0
33.0735382115415,C00,4.370629,1,0
33.17345826656126,C00,4.210294,1,0
33.27337832158103,C00,3.446156,1,0
33.37329837660079,C00,2.385196,1,0
33.47321843162055,C00,3.551363,1,0
33.57313848664032,C00,1.194794,1,0
33.67305854166008,C00,1.815502,1,0
33.77297859667984,C00,2.099265,1,0
33.87289865169961,C00,3.3047,0,0
33.97281870671937,C00,1.158074,0,0
34.07273876173913,C00,-1.821177,0,0
34.17265881675889,C00,1.830808,0,0
34.27257887177866,C00,1.507012,0,0
34.37249892679842,C00,0.8225117,0,0
34.47241898181818,C00,0.3825068,0,0
34.57233903683795,C00,0.6259505,0,0
34.6722590918577,C00,-0.4383366,0,0
34.77217914687747,C00,2.440157,0,0
34.87209920189724,C00,-0.033941,0,0
34.97201925691699,C00,0.6099209,0,0
35.07193931193676,C00,0.3217411,0,0
35.17185936695653,C00,-0.6969246,0,0
35.27177942197628,C00,0.3150841,0,0
35.37169947699605,C00,1.312108,0,0
35.47161953201581,C00,0.3791751,0,0
35.57153958703557,C00,0.6599848,0,0
35.67145964205534,C00,0.5780811,0,0
35.7713796970751,C00,2.296466,0,0
35.87129975209486,C00,1.362659,0,0
35.97121980711462,C00,1.051997,0,0
36.07113986213439,C00,0.06986653,0,0
36.17105991715415,C00,1.056196,0,0
36.27097997217391,C00,1.807662,0,0
36.37090002719368,C00,0.6638012,0,0
36.47082008221344,C00,0.5315176,0,0
36.5707401372332,C00,0.02531774,0,0
36.67066019225297,C00,2.430529,0,0
36.77058024727273,C00,3.501564,0,0
36.87050030229249,C00,3.554668,0,0
36.97042035731225,C00,1.824027,0,0
37.07034041233202,C00,1.536171,0,0
37.17026046735178,C00,-0.7368999,0,0
37.27018052237154,C00,2.473779,0,0
37.37010057739131,C00,3.285187,0,0
37.47002063241106,C00,1.468141,0,0
37.56994068743083,C00,2.833194,0,0
37.6698607424506,C00,3.397422,0,0
37.76978079747035,C00,2.167943,0,0
37.86970085249012,C00,1.508969,0,0
37.96962090750988,C00,0.02279104,0,0
38.06954096252964,C00,2.662347,0,0
38.16946101754941,C00,2.253405,0,0
38.26938107256917,C00,3.133812,0,0
38.36930112758893,C00,-0.03831181,0,0
38.4692211826087,C00,1.593282,0,0
38.56914123762846,C00,0.4654354,0,0
38.66906129264822,C00,1.94188,0,0
38.76898134766798,C00,3.970313,0,0
38.86890140268775,C00,2.983096,0,0
38.96882145770751,C00,2.906269,0,0
39.06874151272727,C00,2.254717,0,0
39.16866156774704,C00,2.769725,0,0
39.2685816227668,C00,1.945688,0,0
39.36850167778656,C00,3.032117,0,0
39.46842173280633,C00,1.537075,0,0
39.56834178782609,C00,2.199406,1,1
39.66826184284585,C00,1.349474,1,0
39.76818189786561,C00,0.7566566,1,0
39.86810195288538,C00,1.478625,1,0
39.96802200790514,C00,1.00097,1,0
40.0679420629249,C00,0.6965096,0,0
40.16786211794467,C00,0.04526148,0,0
40.26778217296442,C00,-0.7759318,0,0
40.36770222798419,C00,0.859391,0,0
40.46762228300395,C00,-0.5222703,0,0
