Time,Cell,F,biteing,bitepoint,biting
0.0,C00,3.559807,0,0,
0.0999202625501397,C00,2.264598,0,0,
0.1998405251002796,C00,3.749182,0,0,
0.2997607876504194,C00,3.026505,0,0,
0.3996810502005591,C00,4.682391,0,0,
0.4996013127506989,C00,4.180435,0,0,
0.5995215753008387,C00,3.352997,0,0,
0.6994418378509785,C00,1.28143,0,0,
0.7993621004011182,C00,-0.01650781,0,0,
0.8992823629512581,C00,-0.3220038,0,0,
0.9992026255013978,C00,1.760215,0,0,
1.099122888051538,C00,1.864228,0,0,
1.199043150601677,C00,0.7123923,0,0,
1.298963413151817,C00,0.9380627,0,0,
1.398883675701957,C00,2.374228,0,0,
1.498803938252097,C00,3.489655,0,0,
1.598724200802236,C00,3.522691,0,0,
1.698644463352376,C00,4.255805,0,0,
1.798564725902516,C00,2.226923,0,0,
1.898484988452656,C00,1.461662,0,0,
1.998405251002796,C00,0.7945063,0,0,
2.098325513552935,C00,3.811453,0,0,
2.198245776103075,C00,3.140918,0,0,
2.298166038653215,C00,3.315102,0,0,
2.398086301203355,C00,3.672504,0,0,
2.498006563753495,C00,4.126442,0,0,
2.597926826303635,C00,1.716602,0,0,
2.697847088853774,C00,1.080011,0,0,
2.797767351403914,C00,1.181466,0,0,
2.897687613954054,C00,-0.2193916,0,0,
2.997607876504194,C00,1.038171,0,0,
3.097528139054333,C00,2.712219,0,0,
3.197448401604473,C00,1.507612,0,0,
3.297368664154613,C00,2.416609,0,0,
3.397288926704753,C00,2.632981,0,0,
3.497209189254892,C00,0.9096725,0,0,
3.597129451805032,C00,1.920473,0,0,
3.697049714355172,C00,1.350292,0,0,
3.796969976905312,C00,4.158683,0,0,
3.896890239455451,C00,3.4531,0,0,
3.996810502005591,C00,2.684289,0,0,
4.096730764555731,C00,2.433588,0,0,
4.196651027105871,C00,1.620968,0,0,
4.29657128965601,C00,5.131359,0,0,
4.39649155220615,C00,2.569969,0,0,
4.49641181475629,C00,1.913298,0,0,
4.59633207730643,C00,2.686067,0,0,
4.69625233985657,C00,3.432317,0,0,
4.79617260240671,C00,1.99347,0,0,
4.89609286495685,C00,2.504492,0,0,
4.996013127506989,C00,1.971531,0,0,
5.095933390057129,C00,1.585548,0,0,
5.195853652607269,C00,0.2500144,0,0,
5.295773915157408,C00,-0.2873014,0,0,
5.395694177707548,C00,2.523538,0,0,
5.495614440257688,C00,1.975246,0,0,
5.595534702807828,C00,1.658096,0,0,
5.695454965357968,C00,2.090339,0,0,
5.795375227908107,C00,0.5671327,0,0,
5.895295490458247,C00,3.212715,0,0,
5.995215753008387,C00,2.07836,0,0,
6.095136015558527,C00,3.7503,0,0,
6.195056278108667,C00,1.796731,0,0,
6.294976540658807,C00,2.619704,0,0,
6.394896803208946,C00,3.305198,0,0,
6.494817065759086,C00,1.745409,0,0,
6.594737328309225,C00,2.371044,0,0,
6.694657590859365,C00,1.830585,0,0,
6.794577853409505,C00,3.079504,0,0,
6.894498115959645,C00,2.873308,0,0,
6.994418378509785,C00,2.304197,0,0,
7.094338641059925,C00,3.179518,0,0,
7.194258903610065,C00,4.368493,0,0,
7.294179166160204,C00,3.723285,0,0,
7.394099428710344,C00,5.153945,0,0,
7.494019691260484,C00,4.836126,0,0,
7.593939953810623,C00,2.091243,0,0,
7.693860216360763,C00,3.209041,0,0,
7.793780478910903,C00,5.491511,0,0,
7.893700741461043,C00,5.704176,0,0,
7.993621004011183,C00,5.882171,0,0,
8.093541266561322,C00,2.056546,0,0,
8.193461529111461,C00,1.885954,0,0,
8.293381791661602,C00,0.3938406,0,0,
8.393302054211741,C00,0.5292032,0,0,
8.493222316761882,C00,1.992755,0,0,
8.59314257931202,C00,5.44896,0,0,
8.693062841862162,C00,4.958587,0,0,
8.7929831044123,C00,5.987261,0,0,
8.892903366962441,C00,7.803775,0,0,
8.99282362951258,C00,6.496124,0,0,
9.09274389206272,C00,3.473083,0,0,
9.19266415461286,C00,3.001101,0,0,
9.292584417163,C00,3.539793,0,0,
9.39250467971314,C00,5.029149,0,0,
9.49242494226328,C00,4.448288,0,0,
9.59234520481342,C00,3.093876,0,0,
9.692265467363558,C00,3.647514,0,0,
9.7921857299137,C00,3.58853,0,0,
9.892105992463838,C00,1.439522,0,0,
9.99202625501398,C00,3.094941,0,0,
10.09194651756412,C00,4.366509,0,0,
10.19186678011426,C00,4.184316,0,0,
10.2917870426644,C00,3.346189,0,0,
10.39170730521454,C00,2.814793,0,0,
10.49162756776468,C00,3.73725,0,0,
10.59154783031482,C00,2.62913,0,0,
10.69146809286496,C00,2.767961,0,0,
10.7913883554151,C00,1.7301,0,0,
10.89130861796524,C00,2.235882,0,0,
10.99122888051538,C00,1.790625,0,0,
11.09114914306552,C00,2.651945,0,0,
11.19106940561566,C00,3.066142,0,0,
11.2909896681658,C00,2.824825,0,0,
11.39090993071594,C00,5.776705,0,0,
11.49083019326608,C00,2.317631,0,0,
11.59075045581621,C00,2.992479,0,0,
11.69067071836635,C00,4.632698,0,0,
11.79059098091649,C00,5.381283,0,0,
11.89051124346663,C00,3.250377,0,0,
11.99043150601677,C00,2.956833,0,0,
12.09035176856691,C00,1.408482,0,0,
12.19027203111705,C00,2.911497,0,0,
12.29019229366719,C00,3.772322,0,0,
12.39011255621733,C00,4.18626,0,0,
12.49003281876747,C00,3.348482,0,0,
12.58995308131761,C00,2.096786,0,0,
12.68987334386775,C00,1.746568,0,0,
12.78979360641789,C00,4.132415,0,0,
12.88971386896803,C00,4.275161,0,0,
12.98963413151817,C00,3.631571,0,0,
13.08955439406831,C00,3.724016,0,0,
13.18947465661845,C00,4.02825,0,0,
13.28939491916859,C00,3.405244,0,0,
13.38931518171873,C00,2.999218,0,0,
13.48923544426887,C00,5.455534,0,0,
13.58915570681901,C00,4.598208,0,0,
13.68907596936915,C00,7.502763,0,0,
13.78899623191929,C00,4.901851,0,0,
13.88891649446943,C00,5.813085,0,0,
13.98883675701957,C00,4.927266,0,0,
14.08875701956971,C00,5.278605,0,0,
14.18867728211985,C00,5.618657,0,0,
14.28859754466999,C00,5.820697,0,0,
14.38851780722013,C00,7.016538,0,0,
14.48843806977027,C00,3.947991,0,0,
14.58835833232041,C00,2.919486,0,0,
14.68827859487055,C00,6.322555,0,0,
14.78819885742069,C00,8.370434,0,0,
14.88811911997083,C00,3.182454,0,0,
14.98803938252097,C00,7.754391,0,0,
15.08795964507111,C00,5.04316,0,0,
15.18787990762125,C00,3.120805,0,0,
15.28780017017139,C00,4.120793,0,0,
15.38772043272153,C00,5.315856,0,0,
15.48764069527167,C00,4.587377,0,0,
15.58756095782181,C00,2.836527,0,0,
15.68748122037195,C00,2.65343,0,0,
15.78740148292209,C00,2.480788,0,0,
15.88732174547223,C00,1.651316,0,0,
15.98724200802237,C00,2.965787,0,0,
