Time,Cell,F,bite,bitepoint,biting
12.68986441831763,C0,3.227656,0,0,
12.78978461058785,C0,1.591996,0,0,
12.88970480285807,C0,1.412924,0,0,
12.98962499512829,C0,3.202005,0,0,
13.08954518739851,C0,7.350529,0,0,
13.18946537966872,C0,10.35256,0,0,
13.28938557193894,C0,10.46052,0,0,
13.38930576420916,C0,8.955462,0,0,
13.48922595647938,C0,6.997367,0,0,
13.58914614874959,C0,6.522667,0,0,
13.68906634101981,C0,5.375479,0,0,
13.78898653329003,C0,3.208652,0,0,
13.88890672556025,C0,1.93622,0,0,
13.98882691783046,C0,-0.2779685,0,0,
14.08874711010068,C0,0.08368409,0,0,
14.1886673023709,C0,0.05870534,0,0,
14.28858749464112,C0,-0.6735258,0,0,
14.38850768691134,C0,-1.306672,0,0,
14.48842787918155,C0,1.345883,0,0,
14.58834807145177,C0,0.09692784,0,0,
14.68826826372199,C0,3.532481,0,0,
14.78818845599221,C0,4.550863,0,0,
14.88810864826242,C0,5.638593,0,0,
14.98802884053264,C0,6.942491,0,0,
15.08794903280286,C0,4.61851,0,0,
15.18786922507308,C0,2.731927,0,0,1.0
15.28778941734329,C0,4.756638,0,1,1.0
15.38770960961351,C0,5.119606,0,0,1.0
15.48762980188373,C0,2.997462,0,0,0.0
15.58754999415395,C0,1.260018,0,0,0.0
15.68747018642416,C0,2.10076,0,0,0.0
15.78739037869438,C0,3.316871,0,0,0.0
15.8873105709646,C0,1.352698,0,0,0.0
15.98723076323482,C0,3.264482,0,0,0.0
16.08715095550503,C0,1.313264,0,0,0.0
16.18707114777525,C0,1.446779,0,0,0.0
16.28699134004547,C0,1.589999,0,0,0.0
16.38691153231569,C0,0.4794011,0,0,0.0
16.4868317245859,C0,0.1331502,0,0,0.0
16.58675191685612,C0,1.473245,0,0,0.0
16.68667210912634,C0,5.102933,0,0,0.0
16.78659230139656,C0,5.562826,0,0,0.0
16.88651249366677,C0,4.659858,0,0,0.0
16.98643268593699,C0,4.37865,0,0,0.0
17.08635287820721,C0,3.993811,0,0,0.0
17.18627307047743,C0,5.55386,0,0,0.0
17.28619326274764,C0,4.490741,0,0,0.0
17.38611345501786,C0,3.294064,0,0,0.0
17.48603364728808,C0,3.12124,0,0,0.0
17.5859538395583,C0,1.894382,0,0,0.0
17.68587403182852,C0,0.9468074,0,0,0.0
17.78579422409873,C0,-0.5469723,0,0,0.0
17.88571441636895,C0,0.06727821,0,0,0.0
17.98563460863917,C0,-0.1798663,0,0,0.0
18.08555480090939,C0,1.055161,0,0,0.0
18.1854749931796,C0,1.047582,0,0,0.0
18.28539518544982,C0,0.2766756,0,0,0.0
18.38531537772004,C0,2.324837,0,0,0.0
18.48523556999026,C0,1.123614,0,0,0.0
18.58515576226047,C0,2.953001,0,0,0.0
18.68507595453069,C0,0.2991821,0,0,0.0
18.78499614680091,C0,0.08743633,0,0,0.0
18.88491633907113,C0,0.6660348,0,0,0.0
18.98483653134134,C0,-0.3846312,0,0,0.0
19.08475672361156,C0,-0.06215312,0,0,0.0
19.18467691588178,C0,-0.6507952,0,0,0.0
19.284597108152,C0,-2.290839,0,0,0.0
19.38451730042221,C0,0.3883274,0,0,0.0
19.48443749269243,C0,1.622592,0,0,0.0
19.58435768496265,C0,1.028667,0,0,0.0
19.68427787723287,C0,0.07338681,0,0,0.0
19.78419806950308,C0,1.733266,0,0,0.0
19.8841182617733,C0,0.4322511,0,0,0.0
19.98403845404352,C0,-1.64081,0,0,0.0
20.08395864631374,C0,-0.1340993,0,0,0.0
20.18387883858395,C0,2.063778,0,0,0.0
20.28379903085417,C0,1.799922,0,0,0.0
20.38371922312439,C0,0.7814467,0,0,0.0
20.48363941539461,C0,-1.841878,0,0,0.0
20.58355960766483,C0,-0.002371902,0,0,0.0
20.68347979993504,C0,0.9109511,0,0,0.0
20.78339999220526,C0,3.348479,0,0,0.0
20.88332018447548,C0,1.632843,0,0,0.0
20.9832403767457,C0,1.844315,0,0,0.0
21.08316056901591,C0,1.781518,0,0,0.0
21.18308076128613,C0,5.418918,0,0,0.0
21.28300095355635,C0,1.238443,0,0,0.0
21.38292114582657,C0,1.219518,0,0,0.0
21.48284133809678,C0,2.251479,0,0,0.0
21.582761530367,C0,0.8349076,0,0,0.0
21.68268172263722,C0,-0.6100869,0,0,0.0
21.78260191490744,C0,-0.07648232,0,0,0.0
21.88252210717766,C0,-1.313376,0,0,0.0
21.98244229944787,C0,-0.2273086,0,0,0.0
22.08236249171809,C0,1.402222,0,0,0.0
22.18228268398831,C0,1.215768,0,0,0.0
22.28220287625853,C0,0.3119596,0,0,0.0
22.38212306852874,C0,1.351813,0,0,0.0
22.48204326079896,C0,2.114946,0,0,0.0
22.58196345306918,C0,-0.181005,0,0,0.0
22.6818836453394,C0,-1.622149,0,0,0.0
22.78180383760961,C0,0.8760781,0,0,0.0
22.88172402987983,C0,1.348687,0,0,0.0
22.98164422215005,C0,2.609024,0,0,0.0
23.08156441442027,C0,4.843989,0,0,0.0
23.18148460669049,C0,3.98134,0,0,0.0
23.2814047989607,C0,4.777713,0,0,0.0
23.38132499123092,C0,1.481401,0,0,0.0
23.48124518350114,C0,2.47947,0,0,0.0
23.58116537577136,C0,1.386106,0,0,0.0
23.68108556804157,C0,0.7703227,0,0,0.0
23.78100576031179,C0,2.024547,0,0,0.0
23.88092595258201,C0,1.185045,0,0,0.0
23.98084614485223,C0,-0.6457115,0,0,0.0
24.08076633712244,C0,0.2391341,0,0,0.0
24.18068652939266,C0,0.664528,0,0,0.0
24.28060672166288,C0,0.6572745,0,0,0.0
24.3805269139331,C0,2.635145,0,0,0.0
24.48044710620331,C0,1.747772,0,0,0.0
24.58036729847353,C0,2.037487,0,0,0.0
24.68028749074375,C0,2.402171,0,0,0.0
24.78020768301397,C0,3.906116,0,0,0.0
24.88012787528418,C0,1.709226,0,0,0.0
24.9800480675544,C0,0.8558317,0,0,0.0
25.07996825982462,C0,2.973175,0,0,0.0
25.17988845209484,C0,1.458955,0,0,0.0
25.27980864436505,C0,2.217597,0,0,0.0
25.37972883663527,C0,1.892235,0,0,0.0
25.47964902890549,C0,1.521672,0,0,0.0
25.57956922117571,C0,0.2521995,0,0,0.0
25.67948941344592,C0,-0.6918527,0,0,0.0
25.77940960571614,C0,-1.312309,0,0,0.0
25.87932979798636,C0,-0.9822809,0,0,0.0
