Time,Cell,F,bite,bitepoint,biting
0.0,C24,2.847454,0,0,
0.0999201664516129,C24,4.291166,0,0,
0.1998403329032258,C24,2.316009,0,0,
0.2997604993548387,C24,2.449674,0,0,
0.3996806658064516,C24,2.721525,0,0,
0.4996008322580645,C24,2.837917,0,0,
0.5995209987096775,C24,2.723632,0,0,
0.6994411651612903,C24,3.723031,0,0,
0.7993613316129032,C24,4.570714,0,0,
0.8992814980645162,C24,3.046495,0,0,
0.999201664516129,C24,0.9379538,0,0,
1.099121830967742,C24,0.7137646,0,0,
1.199041997419355,C24,2.090944,0,0,
1.298962163870968,C24,0.2398953,0,0,
1.398882330322581,C24,1.828254,0,0,
1.498802496774194,C24,0.6049444,0,0,
1.598722663225806,C24,0.3935748,0,0,
1.698642829677419,C24,-0.2500169,0,0,
1.798562996129032,C24,1.5766,0,0,
1.898483162580645,C24,1.80779,0,0,
1.998403329032258,C24,2.390696,0,0,
2.098323495483871,C24,3.067,0,0,
2.198243661935484,C24,4.352878,0,0,
2.298163828387097,C24,1.85616,0,0,
2.39808399483871,C24,2.21982,0,0,
2.498004161290323,C24,1.551271,0,0,
2.597924327741935,C24,0.6600249,0,0,
2.697844494193548,C24,0.5507681,0,0,
2.797764660645161,C24,-0.2504735,0,0,
2.897684827096774,C24,1.780674,0,0,
2.997604993548387,C24,1.469352,0,0,
3.09752516,C24,2.601052,0,0,
3.197445326451613,C24,2.780749,0,0,
3.297365492903226,C24,2.705705,0,0,
3.397285659354839,C24,2.477018,0,0,
3.497205825806452,C24,3.55125,0,0,
3.597125992258065,C24,3.620474,0,0,
3.697046158709677,C24,2.631942,0,0,
3.79696632516129,C24,2.119524,0,0,
3.896886491612903,C24,1.140369,0,0,
3.996806658064516,C24,1.245162,0,0,
4.096726824516129,C24,0.8402653,0,0,
4.196646990967742,C24,1.100633,0,0,
4.296567157419354,C24,2.041469,0,0,
4.396487323870968,C24,3.255348,0,0,
4.49640749032258,C24,1.922985,0,0,
4.596327656774194,C24,2.840433,0,0,
4.696247823225806,C24,3.536718,0,0,
4.79616798967742,C24,2.819964,0,0,
4.896088156129032,C24,2.589067,0,0,
4.996008322580646,C24,2.814191,0,0,
5.095928489032258,C24,1.311851,0,0,
5.195848655483871,C24,2.102658,0,0,
5.295768821935484,C24,1.382683,0,0,
5.395688988387096,C24,2.469987,0,0,
5.49560915483871,C24,2.084892,0,0,
5.595529321290322,C24,1.948376,0,0,
5.695449487741936,C24,5.072689,0,0,
5.795369654193548,C24,3.726469,0,0,
5.895289820645162,C24,5.301447,0,0,
5.995209987096774,C24,3.334049,0,0,
6.095130153548387,C24,4.859523,0,0,
6.19505032,C24,5.211021,0,0,
6.294970486451613,C24,5.171273,0,0,
6.394890652903226,C24,8.790059,0,0,
6.494810819354838,C24,7.590801,0,0,
6.594730985806452,C24,7.58216,0,0,
6.694651152258064,C24,6.669587,0,0,
6.794571318709678,C24,7.162355,0,0,
6.89449148516129,C24,6.650053,0,0,
6.994411651612904,C24,5.495784,0,0,
7.094331818064516,C24,5.362398,0,0,
7.194251984516129,C24,5.454469,0,0,
7.294172150967742,C24,5.627315,0,0,
7.394092317419354,C24,8.575426,0,0,
7.494012483870968,C24,9.287878,0,0,
