Time,Cell,F,biting,bitepoint
0.0,C00,3.154486,0,0
0.0999201051450553,C00,1.528893,0,0
0.1998402102901106,C00,1.222775,0,0
0.2997603154351659,C00,1.554711,0,0
0.3996804205802212,C00,1.035311,0,0
0.4996005257252765,C00,2.812518,0,0
0.5995206308703318,C00,0.09597167,0,0
0.699440736015387,C00,0.4994369,0,0
0.7993608411604424,C00,2.716673,0,0
0.8992809463054977,C00,3.054813,0,0
0.9992010514505528,C00,1.215704,0,0
1.099121156595608,C00,-0.8885152,0,0
1.199041261740664,C00,1.176447,0,0
1.298961366885719,C00,1.071484,0,0
1.398881472030774,C00,1.70283,0,0
1.498801577175829,C00,2.404053,0,0
1.598721682320885,C00,0.6431293,0,0
1.69864178746594,C00,1.938764,0,0
1.798561892610995,C00,1.118303,0,0
1.898481997756051,C00,0.241877,0,0
1.998402102901106,C00,0.6467051,0,0
2.098322208046161,C00,1.99313,0,0
2.198242313191217,C00,1.130866,0,0
2.298162418336272,C00,1.125429,0,0
2.398082523481327,C00,-0.2170314,0,0
2.498002628626383,C00,1.132006,0,0
2.597922733771438,C00,2.539415,0,0
2.697842838916493,C00,1.949857,0,0
2.797762944061548,C00,1.440832,0,0
2.897683049206603,C00,1.898636,0,0
2.997603154351659,C00,1.272885,0,0
3.097523259496714,C00,0.6011002,0,0
3.197443364641769,C00,-3.235636,0,0
3.297363469786825,C00,-1.266834,0,0
3.39728357493188,C00,-2.383396,0,0
3.497203680076935,C00,-2.511754,0,0
3.597123785221991,C00,-1.958405,0,0
3.697043890367046,C00,-3.074082,0,0
3.796963995512102,C00,-3.154526,0,0
3.896884100657156,C00,-3.316927,0,0
3.996804205802212,C00,-3.105072,0,0
4.096724310947267,C00,-1.823447,0,0
4.196644416092322,C00,-2.49565,0,0
4.296564521237378,C00,-2.590875,0,0
4.396484626382433,C00,-4.597065,0,0
4.496404731527488,C00,-1.209944,0,0
4.596324836672544,C00,-3.67696,0,0
4.696244941817599,C00,-1.799878,0,0
4.796165046962654,C00,-0.3940176,0,0
4.89608515210771,C00,-0.04917379,0,0
4.996005257252765,C00,0.04014336,0,0
5.09592536239782,C00,-0.6985239,0,0
5.195845467542876,C00,-0.8565598,0,0
5.295765572687931,C00,-1.664348,0,0
5.395685677832986,C00,0.3901667,0,0
5.495605782978041,C00,-0.373731,0,0
5.595525888123096,C00,0.2695696,0,0
5.695445993268152,C00,-1.196354,0,0
5.795366098413207,C00,-1.815088,0,0
5.895286203558262,C00,-0.07538907,0,0
5.995206308703318,C00,-2.100924,0,0
6.095126413848373,C00,-1.526064,0,0
6.195046518993428,C00,-1.891698,0,0
6.294966624138484,C00,-1.076126,0,0
6.394886729283539,C00,-0.9240871,0,0
6.494806834428594,C00,-2.537389,0,0
6.59472693957365,C00,-2.421125,0,0
6.694647044718705,C00,-0.4312119,0,0
6.79456714986376,C00,-2.05241,0,0
6.894487255008816,C00,-0.5675128,0,0
6.994407360153871,C00,-0.6631643,0,0
