Time,Cell,F,biting,bitepoint,playing
0.0,C02,13.30962,0,0,
0.0999201371318203,C02,8.731182,0,0,
0.1998402742636408,C02,7.857377,0,0,
0.2997604113954611,C02,5.997104,0,0,
0.3996805485272815,C02,9.335397,0,0,
0.4996006856591019,C02,16.99915,0,0,
0.5995208227909222,C02,19.52468,0,0,
0.6994409599227427,C02,16.07968,0,0,
0.799361097054563,C02,12.07625,0,0,
0.8992812341863834,C02,11.78003,0,0,
0.9992013713182036,C02,14.00157,0,0,
1.099121508450024,C02,9.132974,0,0,
1.199041645581844,C02,7.845755,0,0,
1.298961782713665,C02,6.45518,0,0,
1.398881919845485,C02,4.735767,0,0,
1.498802056977306,C02,4.905127,0,0,
1.598722194109126,C02,6.724684,0,0,
1.698642331240946,C02,6.145357,0,0,
1.798562468372767,C02,10.88159,0,0,
1.898482605504587,C02,10.04823,0,0,
1.998402742636407,C02,9.761439,0,0,
2.098322879768228,C02,10.1229,0,0,
2.198243016900048,C02,9.180057,0,0,
2.298163154031869,C02,10.99861,0,0,
2.398083291163689,C02,8.928289,0,0,
2.498003428295509,C02,7.461621,0,0,
2.59792356542733,C02,9.971237,0,0,
2.69784370255915,C02,10.26069,0,0,
2.797763839690971,C02,9.453995,0,0,
2.897683976822791,C02,7.073735,0,0,
2.997604113954611,C02,5.010024,0,0,
3.097524251086432,C02,4.565699,0,0,
3.197444388218252,C02,1.666057,0,0,
3.297364525350072,C02,4.83978,0,0,
3.397284662481893,C02,6.820267,0,0,
3.497204799613713,C02,4.594632,0,0,
3.597124936745534,C02,5.383936,0,0,
3.697045073877354,C02,7.57956,0,0,
3.796965211009174,C02,5.189918,0,0,
3.896885348140995,C02,6.905088,0,0,
3.996805485272815,C02,5.464031,0,0,
4.096725622404636,C02,5.957428,0,0,
4.196645759536456,C02,7.647848,0,0,
4.296565896668276,C02,6.346088,0,0,
4.396486033800096,C02,6.844106,0,0,
4.496406170931917,C02,4.790332,0,0,
4.596326308063738,C02,6.254901,0,0,
4.696246445195558,C02,8.020968,0,0,
4.796166582327378,C02,19.01866,0,0,
4.896086719459198,C02,20.05097,0,0,
4.996006856591019,C02,14.16679,0,0,
5.09592699372284,C02,13.17179,0,0,
5.195847130854659,C02,11.41772,0,0,
5.29576726798648,C02,13.39533,0,0,
5.3956874051183,C02,11.61839,0,0,
5.495607542250121,C02,9.138401,0,0,
5.595527679381942,C02,8.945332,0,0,
5.695447816513761,C02,10.3947,0,0,
5.795367953645582,C02,9.979923,0,0,
5.895288090777402,C02,7.504498,0,0,
5.995208227909223,C02,14.23617,0,0,
6.095128365041043,C02,11.2786,0,0,
6.195048502172863,C02,12.47915,0,0,
6.294968639304684,C02,14.15234,0,0,
6.394888776436504,C02,18.07902,0,0,
6.494808913568325,C02,12.29806,0,0,
6.594729050700145,C02,13.82352,0,0,
6.694649187831965,C02,16.01131,0,0,
6.794569324963786,C02,16.85904,0,0,
6.894489462095606,C02,13.52278,0,0,
6.994409599227426,C02,12.23302,0,0,
7.094329736359247,C02,8.114507,0,0,
7.194249873491067,C02,12.64274,0,0,
7.294170010622888,C02,13.02554,0,0,
7.394090147754708,C02,10.43001,0,0,
7.494010284886528,C02,10.43215,0,0,
7.593930422018349,C02,9.782978,0,0,
7.693850559150169,C02,7.406355,0,0,
7.79377069628199,C02,8.310823,0,0,
7.893690833413809,C02,11.14424,0,0,
7.99361097054563,C02,8.170436,0,0,
8.09353110767745,C02,6.215826,0,0,
8.193451244809271,C02,4.407214,0,0,
8.29337138194109,C02,2.817771,0,0,
8.393291519072912,C02,4.015613,0,0,
8.493211656204732,C02,2.121557,0,0,
8.593131793336552,C02,2.548502,0,0,
8.693051930468373,C02,3.660152,0,0,
8.792972067600193,C02,3.27233,0,0,
8.892892204732014,C02,2.635295,0,0,
8.992812341863834,C02,1.860358,0,0,
9.092732478995654,C02,2.767883,0,0,
9.192652616127477,C02,5.352044,0,0,
9.292572753259297,C02,5.784282,0,0,
9.392492890391116,C02,7.641268,0,0,
9.492413027522936,C02,6.85908,0,0,
9.592333164654756,C02,8.153514,0,0,
9.692253301786575,C02,7.364296,0,0,
9.792173438918397,C02,4.459531,0,0,
9.892093576050216,C02,1.644504,0,0,
9.992013713182038,C02,4.123647,0,0,
10.09193385031386,C02,2.787783,0,0,
10.19185398744568,C02,0.01748728,0,0,
10.2917741245775,C02,5.645894,0,0,
10.39169426170932,C02,4.234852,0,0,
10.49161439884114,C02,2.87175,0,0,
10.59153453597296,C02,4.193045,0,0,
10.69145467310478,C02,7.246992,0,0,
10.7913748102366,C02,5.865415,0,0,
10.89129494736842,C02,7.704121,0,0,
10.99121508450024,C02,7.207774,0,0,
11.09113522163206,C02,6.999465,0,0,
11.19105535876388,C02,4.221899,0,0,
11.2909754958957,C02,6.835807,0,0,
11.39089563302752,C02,6.487212,0,0,
11.49081577015934,C02,5.136679,0,0,
11.59073590729116,C02,7.559709,0,0,
11.69065604442298,C02,6.968851,0,0,
11.7905761815548,C02,4.480902,0,0,
11.89049631868662,C02,7.997255,0,0,
11.99041645581845,C02,2.775661,0,0,
12.09033659295027,C02,1.831953,0,0,
12.19025673008209,C02,0.05046386,0,0,
12.29017686721391,C02,0.9943722,0,0,
12.39009700434573,C02,3.254172,0,0,
12.49001714147755,C02,9.318067,0,0,
12.58993727860937,C02,11.05873,0,0,
12.68985741574119,C02,8.416245,0,0,
12.78977755287301,C02,10.61625,0,0,
12.88969769000483,C02,14.04546,0,0,
12.98961782713665,C02,16.91721,0,0,
13.08953796426847,C02,15.65468,0,0,
13.18945810140029,C02,14.27032,0,0,
13.28937823853211,C02,13.58828,0,0,
13.38929837566393,C02,13.60405,0,0,
13.48921851279575,C02,11.33942,0,0,
13.58913864992757,C02,12.8127,0,0,
13.68905878705939,C02,10.22212,0,0,
13.78897892419121,C02,8.125719,0,0,
13.88889906132303,C02,6.316266,0,0,
13.98881919845485,C02,6.366754,0,0,
14.08873933558667,C02,9.675743,0,0,
14.18865947271849,C02,7.409385,0,0,
14.28857960985031,C02,8.062384,0,0,
14.38849974698213,C02,7.675602,0,0,
14.48841988411395,C02,3.662821,0,0,
14.58834002124578,C02,3.365595,0,0,
14.6882601583776,C02,6.215549,0,0,
14.78818029550942,C02,3.359586,0,0,
14.88810043264124,C02,4.354341,0,0,
14.98802056977306,C02,3.224176,0,0,
15.08794070690488,C02,2.435688,0,0,
15.1878608440367,C02,4.610931,0,0,
15.28778098116852,C02,5.241549,0,0,
15.38770111830034,C02,5.23877,0,0,
15.48762125543216,C02,5.201664,0,0,
15.58754139256398,C02,4.086018,0,0,
15.6874615296958,C02,6.128764,0,0,
15.78738166682762,C02,5.780745,0,0,
15.88730180395944,C02,9.679257,0,0,
15.98722194109126,C02,7.248529,0,0,
16.08714207822308,C02,6.679779,0,0,
16.1870622153549,C02,6.498644,0,0,
16.28698235248672,C02,7.299582,0,0,
16.38690248961854,C02,5.831393,0,0,
16.48682262675036,C02,6.976194,0,0,
16.58674276388218,C02,8.545127,0,0,
16.686662901014,C02,5.581004,0,0,
16.78658303814582,C02,7.040425,0,0,
16.88650317527764,C02,9.02984,0,0,
16.98642331240946,C02,8.997881,0,0,
17.08634344954129,C02,7.829679,0,0,
17.1862635866731,C02,9.770932,0,0,
17.28618372380492,C02,12.00312,0,0,
17.38610386093675,C02,5.894496,0,0,
17.48602399806857,C02,7.173481,0,0,
