Time,Cell,F,bite,bitepoint,biting
0.0,C02,-1.047788,0,0,
0.0999200977188157,C02,0.9754465,0,0,
0.1998401954376315,C02,1.752697,0,0,
0.2997602931564472,C02,1.826402,0,0,
0.3996803908752629,C02,0.03846511,0,0,
0.4996004885940786,C02,0.4197237,0,0,
0.5995205863128944,C02,-0.3177972,0,0,
0.6994406840317101,C02,0.1030708,0,0,
0.7993607817505258,C02,-2.392338,0,0,
0.8992808794693415,C02,0.3590552,0,0,
0.9992009771881571,C02,1.416302,0,0,
1.099121074906973,C02,2.061755,0,0,
1.199041172625789,C02,0.7153392,0,0,
1.298961270344605,C02,-0.8709046,0,0,
1.39888136806342,C02,0.4578656,0,0,
1.498801465782236,C02,-0.1068251,0,0,
1.598721563501052,C02,-0.1283465,0,0,
1.698641661219867,C02,-0.6350603,0,0,
1.798561758938683,C02,-1.491743,0,0,
1.898481856657499,C02,-1.954916,0,0,
1.998401954376315,C02,-2.357975,0,0,
2.09832205209513,C02,-1.729671,0,0,
2.198242149813946,C02,-1.71699,0,0,
2.298162247532762,C02,-0.2771975,0,0,
2.398082345251578,C02,-0.404752,0,0,
2.498002442970393,C02,-1.397734,0,0,
2.597922540689209,C02,0.5634624,0,0,
2.697842638408025,C02,-0.2156274,0,0,
2.79776273612684,C02,1.608695,0,0,
2.897682833845656,C02,0.9144846,0,0,
2.997602931564472,C02,-0.6745852,0,0,
3.097523029283288,C02,0.4280465,0,0,
3.197443127002103,C02,1.116323,0,0,
3.297363224720919,C02,1.194813,0,0,
3.397283322439735,C02,1.014149,0,0,
3.49720342015855,C02,-0.202874,0,0,
3.597123517877366,C02,-0.3452996,0,0,
3.697043615596182,C02,-0.821645,0,0,
3.796963713314998,C02,-0.2121337,0,0,
3.896883811033813,C02,1.104683,0,0,
3.996803908752629,C02,-1.04785,0,0,
4.096724006471445,C02,-0.961282,0,0,
4.196644104190261,C02,0.7624859,0,0,
4.296564201909076,C02,-1.118128,0,0,
4.396484299627892,C02,1.045884,0,0,
4.496404397346708,C02,-0.1561733,0,0,
4.596324495065524,C02,-1.127476,0,0,
4.696244592784339,C02,2.536167,0,0,
4.796164690503155,C02,-1.38315,0,0,
4.89608478822197,C02,2.579735,0,0,
4.996004885940787,C02,-0.5879543,0,0,
5.095924983659602,C02,-0.07384856,0,0,
5.195845081378418,C02,-0.4212782,0,0,
5.295765179097233,C02,-0.2235957,0,0,
5.395685276816049,C02,0.3371176,0,0,
5.495605374534865,C02,2.55263,0,0,
5.595525472253681,C02,0.4994767,0,0,
5.695445569972496,C02,1.426221,0,0,
5.795365667691312,C02,0.9895874,0,0,
5.895285765410128,C02,1.071644,0,0,
5.995205863128944,C02,0.9101017,0,0,
6.095125960847759,C02,1.126595,0,0,
6.195046058566575,C02,0.7692305,0,0,
6.29496615628539,C02,1.082525,0,0,
6.394886254004207,C02,1.32609,0,0,
6.494806351723022,C02,1.50757,0,0,
6.594726449441838,C02,0.1740896,0,0,
6.694646547160653,C02,-0.3325345,0,0,
6.794566644879469,C02,-0.836539,0,0,
6.894486742598285,C02,-1.169982,0,0,
6.994406840317101,C02,0.1437181,0,0,
7.094326938035916,C02,1.276669,0,0,
7.194247035754732,C02,0.7678211,0,0,
7.294167133473548,C02,1.715308,0,0,
