Time,Cell,F,bite,bitepoint,lick,lickpoint,licking
0.0,C0,3.443194,0,0,0,0,
0.0999203167641325,C0,3.228647,0,0,0,0,
0.1998406335282651,C0,4.02649,0,0,0,0,
0.2997609502923977,C0,4.809976,0,0,0,0,
0.3996812670565302,C0,3.638354,0,0,0,0,
0.4996015838206628,C0,3.446678,0,0,0,0,
0.5995219005847954,C0,6.249138,0,0,0,0,
0.6994422173489279,C0,4.249645,0,0,0,0,
0.7993625341130605,C0,7.756305,0,0,0,0,
0.899282850877193,C0,8.852681,0,0,0,0,
0.9992031676413256,C0,7.896989,0,0,0,0,
1.099123484405458,C0,7.374366,0,0,0,0,
1.199043801169591,C0,5.731073,0,0,0,1,1.0
1.298964117933723,C0,6.236133,0,0,0,0,1.0
1.398884434697856,C0,7.674182,0,0,0,0,1.0
1.498804751461988,C0,6.695582,0,0,0,0,1.0
1.598725068226121,C0,6.535343,0,0,0,0,1.0
1.698645384990253,C0,4.488476,0,0,0,0,1.0
1.798565701754386,C0,5.823732,0,0,0,0,1.0
1.898486018518519,C0,2.975499,0,0,0,0,1.0
1.998406335282651,C0,0.9667034,0,0,0,0,1.0
2.098326652046784,C0,4.034489,0,0,0,0,1.0
2.198246968810916,C0,5.693863,0,0,0,0,1.0
2.298167285575049,C0,6.768677,0,0,0,0,1.0
2.398087602339182,C0,4.390009,0,0,0,0,1.0
2.498007919103314,C0,5.653539,0,0,0,0,1.0
2.597928235867446,C0,3.555048,0,0,0,0,1.0
2.697848552631579,C0,2.176325,0,0,0,0,1.0
2.797768869395711,C0,2.74383,0,0,0,0,1.0
2.897689186159844,C0,3.339853,0,0,0,0,1.0
2.997609502923976,C0,3.950689,0,0,0,0,1.0
3.097529819688109,C0,2.339134,0,0,0,0,1.0
3.197450136452242,C0,2.757379,0,0,0,0,1.0
3.297370453216374,C0,2.601289,0,0,0,0,1.0
3.397290769980507,C0,2.916358,0,0,0,0,1.0
3.49721108674464,C0,2.217926,0,0,0,0,1.0
3.597131403508772,C0,3.145009,0,0,0,0,1.0
3.697051720272905,C0,-0.5479739,0,0,0,0,1.0
