Time,Cell,F,licking,lickpoint
0.0,C00,6.324123,0,0
0.0999200422467594,C00,5.918448,0,0
0.199840084493519,C00,6.677684,0,0
0.2997601267402785,C00,4.13461,0,0
0.399680168987038,C00,5.913033,0,0
0.4996002112337974,C00,1.541403,0,0
0.5995202534805569,C00,0.6266299,0,0
0.6994402957273164,C00,1.995276,0,0
0.7993603379740759,C00,1.550679,0,0
0.8992803802208353,C00,1.912614,0,0
0.9992004224675948,C00,2.181704,0,0
1.099120464714354,C00,0.9445933,0,0
1.199040506961114,C00,-0.06614727,0,0
1.298960549207873,C00,0.9433371,0,0
1.398880591454633,C00,2.878533,0,0
1.498800633701392,C00,1.47638,0,0
1.598720675948152,C00,1.611743,0,0
1.698640718194911,C00,1.796265,0,0
1.798560760441671,C00,2.88088,0,0
1.89848080268843,C00,1.669613,0,0
1.99840084493519,C00,0.9031944,0,0
2.098320887181949,C00,1.765384,0,0
2.198240929428708,C00,1.919397,0,0
2.298160971675468,C00,2.338967,0,0
2.398081013922228,C00,5.446004,0,0
2.498001056168987,C00,5.376889,0,0
2.597921098415747,C00,3.151064,0,0
2.697841140662506,C00,4.692112,0,0
2.797761182909265,C00,2.405893,0,0
2.897681225156025,C00,1.284588,0,0
2.997601267402784,C00,0.2956302,0,0
3.097521309649544,C00,1.493278,0,0
3.197441351896304,C00,0.9676215,0,0
3.297361394143063,C00,1.523705,0,0
3.397281436389822,C00,1.932285,0,0
3.497201478636582,C00,1.394896,0,0
3.597121520883341,C00,1.611616,0,0
3.697041563130101,C00,-1.678611,0,0
3.79696160537686,C00,0.2832224,0,0
3.89688164762362,C00,2.292105,0,0
3.996801689870379,C00,4.087038,0,0
4.096721732117139,C00,2.322295,0,0
4.196641774363898,C00,1.308981,0,0
4.296561816610658,C00,4.301835,0,0
4.396481858857417,C00,3.752318,0,0
4.496401901104177,C00,3.143201,0,0
4.596321943350937,C00,2.286223,0,0
4.696241985597696,C00,2.93152,0,0
4.796162027844455,C00,4.183407,0,0
4.896082070091214,C00,4.43251,0,0
4.996002112337974,C00,2.231018,0,0
5.095922154584733,C00,2.363369,0,0
5.195842196831493,C00,1.571475,0,0
5.295762239078252,C00,1.725492,0,0
5.395682281325012,C00,2.448814,0,0
5.495602323571772,C00,1.996298,0,0
5.595522365818531,C00,0.7488731,0,0
5.695442408065291,C00,1.946223,0,0
5.79536245031205,C00,2.777989,0,0
5.89528249255881,C00,1.275414,0,0
5.995202534805569,C00,1.385035,0,0
6.095122577052329,C00,0.1955582,0,0
6.195042619299088,C00,2.018925,0,0
6.294962661545847,C00,2.768691,0,0
6.394882703792607,C00,2.915607,0,0
6.494802746039366,C00,2.410302,0,0
6.594722788286126,C00,2.262837,0,0
6.694642830532885,C00,2.467342,0,0
6.794562872779645,C00,3.660207,0,0
6.894482915026404,C00,2.976288,0,0
6.994402957273164,C00,0.5137091,0,0
7.094322999519923,C00,-1.741547,0,0
7.194243041766683,C00,0.8402353,0,0
7.294163084013442,C00,1.342139,0,0
7.394083126260202,C00,1.263055,0,0
7.494003168506961,C00,-0.1263441,0,0
7.59392321075372,C00,-0.2702664,0,0
7.69384325300048,C00,1.045992,0,0
7.793763295247239,C00,1.29454,0,0
7.893683337493999,C00,1.384046,0,0
7.993603379740758,C00,2.200715,0,0
8.093523421987518,C00,3.313491,0,0
8.193443464234278,C00,4.679421,0,0
8.293363506481038,C00,2.837505,0,0
8.393283548727796,C00,1.741327,0,0
8.493203590974556,C00,0.860367,0,0
8.593123633221316,C00,-0.5062265,0,0
8.693043675468076,C00,1.843312,0,0
8.792963717714834,C00,1.927609,0,0
8.892883759961594,C00,3.796814,0,0
8.992803802208353,C00,2.742774,0,0
9.092723844455112,C00,4.172163,0,0
9.192643886701871,C00,2.557101,0,0
9.292563928948631,C00,1.724086,0,0
9.392483971195391,C00,2.477714,0,0
9.492404013442153,C00,0.7529281,0,0
9.592324055688913,C00,1.866677,0,0
9.692244097935667,C00,3.930305,0,0
9.792164140182429,C00,2.807066,0,0
9.892084182429189,C00,4.827194,0,0
9.992004224675949,C00,4.894531,0,0
10.09192426692271,C00,4.503632,0,0
10.19184430916947,C00,4.18468,0,0
10.29176435141623,C00,2.921403,0,0
10.39168439366299,C00,3.685203,0,0
10.49160443590975,C00,2.835623,0,0
10.5915244781565,C00,2.097085,0,0
10.69144452040326,C00,2.398954,0,0
10.79136456265002,C00,1.926312,0,0
10.89128460489678,C00,0.6078145,0,0
10.99120464714354,C00,0.9267953,0,0
11.0911246893903,C00,3.821259,0,0
11.19104473163706,C00,1.170941,0,0
11.29096477388382,C00,1.930072,0,0
11.39088481613058,C00,0.5279207,0,0
11.49080485837734,C00,1.659006,0,0
11.5907249006241,C00,1.653432,0,0
11.69064494287086,C00,1.306448,0,0
11.79056498511762,C00,-0.9964098,0,0
11.89048502736438,C00,-0.326717,0,0
11.99040506961114,C00,2.427691,0,0
12.0903251118579,C00,2.188408,0,0
12.19024515410466,C00,3.382797,0,0
12.29016519635142,C00,2.946756,0,0
12.39008523859818,C00,1.805728,0,0
12.49000528084493,C00,1.815257,0,0
12.58992532309169,C00,2.938378,0,0
12.68984536533845,C00,2.420583,0,0
12.78976540758521,C00,1.276294,0,0
12.88968544983197,C00,-0.185609,0,0
12.98960549207873,C00,1.698048,0,0
13.08952553432549,C00,0.5448529,0,0
13.18944557657225,C00,3.186102,0,0
13.28936561881901,C00,3.208839,0,0
13.38928566106577,C00,2.373933,0,0
13.48920570331253,C00,1.298065,0,0
13.58912574555929,C00,0.9666001,0,0
13.68904578780605,C00,3.420948,0,0
13.78896583005281,C00,4.550391,0,0
13.88888587229957,C00,2.86975,0,0
13.98880591454633,C00,6.383373,0,0
14.08872595679309,C00,7.510992,0,0
14.18864599903985,C00,3.431309,0,0
14.28856604128661,C00,4.151596,0,0
14.38848608353337,C00,2.304676,0,0
14.48840612578013,C00,-0.6475088,0,0
14.58832616802688,C00,-0.1052777,0,0
14.68824621027364,C00,0.1310035,0,0
14.7881662525204,C00,3.986106,0,0
14.88808629476716,C00,4.366694,0,0
14.98800633701392,C00,0.9797854,0,0
15.08792637926068,C00,0.3894547,0,0
15.18784642150744,C00,2.083939,0,0
15.2877664637542,C00,0.9317524,0,0
15.38768650600096,C00,1.132518,0,0
15.48760654824772,C00,2.588926,0,0
15.58752659049448,C00,3.744446,0,0
15.68744663274124,C00,3.714573,0,0
15.787366674988,C00,2.490535,0,0
15.88728671723476,C00,2.956598,0,0
15.98720675948152,C00,1.921906,0,0
16.08712680172828,C00,1.908482,0,0
16.18704684397504,C00,1.098745,0,0
16.28696688622179,C00,-0.3259082,1,0
16.38688692846856,C00,0.5964768,1,1
16.48680697071531,C00,0.294064,1,0
16.58672701296208,C00,0.8129825,1,0
16.68664705520883,C00,1.556297,0,0
16.78656709745559,C00,1.690715,0,0
16.88648713970235,C00,1.442053,0,0
16.98640718194911,C00,4.040364,0,0
17.08632722419587,C00,4.768118,0,0
17.18624726644263,C00,3.858688,0,0
17.28616730868939,C00,3.199323,0,0
17.38608735093615,C00,3.259466,0,0
17.48600739318291,C00,2.597989,0,0
17.58592743542967,C00,0.9567227,0,0
17.68584747767643,C00,1.595801,0,0
17.78576751992319,C00,1.547745,0,0
17.88568756216995,C00,2.829268,0,0
17.98560760441671,C00,2.4358,0,0
18.08552764666346,C00,3.686719,0,0
18.18544768891023,C00,1.67989,0,0
18.28536773115698,C00,1.460213,0,0
18.38528777340375,C00,2.154777,0,0
18.4852078156505,C00,-0.5469631,0,0
18.58512785789726,C00,0.4962383,0,0
18.68504790014402,C00,3.749788,0,0
18.78496794239078,C00,4.582739,0,0
18.88488798463754,C00,4.31338,0,0
18.9848080268843,C00,3.523026,0,0
19.08472806913106,C00,2.782451,0,0
19.18464811137782,C00,3.78553,0,0
19.28456815362458,C00,1.52771,0,0
19.38448819587134,C00,0.1441407,0,0
19.4844082381181,C00,-0.9363485,0,0
19.58432828036486,C00,0.9359666,0,0
19.68424832261162,C00,-0.6776539,0,0
19.78416836485838,C00,-0.3179609,0,0
19.88408840710514,C00,-1.354679,0,0
19.9840084493519,C00,0.8283442,0,0
20.08392849159866,C00,0.6876464,0,0
20.18384853384542,C00,-0.8592712,0,0
20.28376857609218,C00,-1.929991,0,0
20.38368861833893,C00,-0.83717,0,0
20.48360866058569,C00,0.8400097,0,0
20.58352870283245,C00,1.77238,0,0
20.68344874507921,C00,3.196699,0,0
20.78336878732597,C00,1.314507,0,0
20.88328882957273,C00,1.097288,0,0
20.98320887181949,C00,0.704521,0,0
21.08312891406625,C00,-0.1402924,0,0
21.18304895631301,C00,-1.925605,0,0
21.28296899855977,C00,0.2886378,0,0
21.38288904080653,C00,0.3060928,0,0
21.48280908305329,C00,0.8537092,0,0
21.58272912530005,C00,0.2462748,0,0
21.68264916754681,C00,-0.8224704,0,0
21.78256920979357,C00,-0.3550672,0,0
21.88248925204033,C00,-2.093684,0,0
21.98240929428709,C00,2.581385,0,0
22.08232933653385,C00,0.82368,0,0
22.1822493787806,C00,1.899946,0,0
22.28216942102737,C00,0.8197018,0,0
22.38208946327412,C00,3.509995,0,0
22.48200950552088,C00,1.196922,0,0
22.58192954776764,C00,0.2052743,0,0
22.6818495900144,C00,-1.140546,0,0
22.78176963226116,C00,0.3315026,0,0
22.88168967450792,C00,-1.859641,0,0
22.98160971675468,C00,-2.706426,0,0
23.08152975900144,C00,-1.818157,0,0
23.1814498012482,C00,0.9887044,0,0
23.28136984349496,C00,1.089743,0,0
23.38128988574172,C00,0.4086733,0,0
23.48120992798848,C00,0.7005378,0,0
23.58112997023524,C00,1.152611,0,0
23.681050012482,C00,0.3846425,0,0
23.78097005472876,C00,0.6009403,0,0
23.88089009697552,C00,1.41577,0,0
23.98081013922227,C00,3.250002,0,0
24.08073018146904,C00,4.44905,0,0
24.18065022371579,C00,4.118742,0,0
24.28057026596255,C00,1.834999,0,0
24.38049030820931,C00,2.211175,0,0
24.48041035045607,C00,3.259952,0,0
24.58033039270283,C00,1.999785,0,0
24.68025043494959,C00,0.02109322,0,0
24.78017047719635,C00,1.207966,0,0
24.88009051944311,C00,2.055064,0,0
24.98001056168987,C00,0.9515873,0,0
25.07993060393663,C00,1.091658,0,0
25.17985064618339,C00,0.8631685,0,0
25.27977068843015,C00,2.196174,0,0
25.37969073067691,C00,3.645785,0,0
25.47961077292367,C00,-0.6024532,0,0
25.57953081517043,C00,0.6426544,0,0
25.67945085741719,C00,0.3594639,0,0
25.77937089966395,C00,-0.02458162,0,0
25.87929094191071,C00,-2.301602,0,0
25.97921098415746,C00,0.594526,0,0
26.07913102640422,C00,1.462572,0,0
26.17905106865098,C00,-0.1319313,0,0
26.27897111089774,C00,2.69235,0,0
26.3788911531445,C00,2.929933,0,0
