Time,Cell,F,lick,lickpoint
0.0,C00,4.666108,0,0
0.0999200259904912,C00,3.71014,0,0
0.1998400519809826,C00,2.421824,0,0
0.2997600779714739,C00,2.89165,0,0
0.3996801039619651,C00,3.17568,0,0
0.4996001299524564,C00,3.181986,0,0
0.5995201559429477,C00,2.131911,0,0
0.6994401819334389,C00,2.933015,0,0
0.7993602079239303,C00,2.032701,0,0
0.8992802339144216,C00,2.852418,0,0
0.9992002599049128,C00,3.044405,0,0
1.099120285895404,C00,2.795552,0,0
1.199040311885895,C00,2.790759,0,0
1.298960337876387,C00,2.513328,0,0
1.398880363866878,C00,0.7634125,0,0
1.498800389857369,C00,1.765629,0,0
1.598720415847861,C00,1.772748,0,0
1.698640441838352,C00,1.629297,0,0
1.798560467828843,C00,1.74408,0,0
1.898480493819334,C00,0.6209979,0,0
1.998400519809826,C00,1.48128,0,0
2.098320545800317,C00,1.221929,0,0
2.198240571790808,C00,1.348259,0,0
2.298160597781299,C00,0.7681056,0,0
2.398080623771791,C00,1.099074,0,0
2.498000649762282,C00,1.186392,0,0
2.597920675752774,C00,1.27826,0,0
2.697840701743265,C00,0.3046607,0,0
2.797760727733756,C00,0.6203841,0,0
2.897680753724247,C00,1.180245,0,0
2.997600779714738,C00,0.7512991,0,0
3.09752080570523,C00,-0.1321885,0,0
3.197440831695721,C00,-0.516456,0,0
3.297360857686213,C00,0.3566473,0,0
3.397280883676704,C00,0.4603152,0,0
3.497200909667195,C00,0.7698408,0,0
3.597120935657686,C00,0.6735241,0,0
3.697040961648177,C00,0.8504108,0,0
3.796960987638669,C00,0.6382604,0,0
3.89688101362916,C00,0.345013,0,0
3.996801039619651,C00,1.905163,0,0
4.096721065610143,C00,0.7920887,0,0
4.196641091600634,C00,1.982959,0,0
4.296561117591125,C00,0.4815198,0,0
4.396481143581616,C00,-0.5547263,0,0
4.496401169572108,C00,-0.8179722,0,0
4.596321195562599,C00,-0.420301,0,0
4.69624122155309,C00,0.5549041,0,0
4.796161247543582,C00,0.9614164,0,0
4.896081273534073,C00,1.09527,0,0
4.996001299524564,C00,0.488194,0,0
5.095921325515055,C00,0.911328,0,0
5.195841351505547,C00,0.9228647,0,0
5.295761377496038,C00,0.8461336,0,0
5.395681403486529,C00,0.134187,0,0
5.495601429477021,C00,0.3162512,0,0
5.595521455467511,C00,0.9514422,0,0
5.695441481458003,C00,3.315762,0,0
5.795361507448495,C00,2.427534,0,0
5.895281533438986,C00,1.689256,0,0
5.995201559429477,C00,1.975278,0,0
6.095121585419968,C00,2.144601,0,0
6.19504161141046,C00,1.61693,0,0
6.29496163740095,C00,1.867176,0,0
6.394881663391442,C00,1.532872,0,0
6.494801689381934,C00,1.454721,0,0
6.594721715372425,C00,6.642583,0,0
6.694641741362916,C00,9.031721,0,0
6.794561767353407,C00,7.328377,0,0
6.894481793343899,C00,9.70258,0,0
6.99440181933439,C00,9.09055,0,0
7.094321845324881,C00,10.30285,0,0
7.194241871315373,C00,9.567312,0,0
7.294161897305863,C00,8.484251,0,0
7.394081923296355,C00,5.976055,0,0
7.494001949286846,C00,5.47607,0,0
7.593921975277338,C00,5.276307,0,0
7.693842001267829,C00,5.093963,0,0
7.79376202725832,C00,5.327964,0,0
7.893682053248812,C00,4.219156,0,0
7.993602079239302,C00,4.651837,0,0
8.093522105229795,C00,3.41124,0,0
8.193442131220285,C00,3.650126,0,0
8.293362157210776,C00,2.857599,0,0
8.393282183201269,C00,2.943512,0,0
8.49320220919176,C00,2.637501,0,0
8.59312223518225,C00,2.237252,0,0
8.693042261172742,C00,1.791337,0,0
8.792962287163233,C00,1.447116,0,0
8.892882313153724,C00,2.448579,0,0
8.992802339144216,C00,2.875307,0,0
9.092722365134708,C00,0.7759572,0,0
9.192642391125196,C00,1.207326,0,0
9.29256241711569,C00,1.482315,0,0
9.39248244310618,C00,1.66518,0,0
9.492402469096673,C00,0.7728691,0,0
9.592322495087164,C00,1.959664,0,0
9.692242521077654,C00,1.247995,0,0
9.792162547068148,C00,0.9456133,0,0
9.892082573058635,C00,1.165806,0,0
9.992002599049128,C00,1.532897,0,0
10.09192262503962,C00,1.362744,0,0
10.19184265103011,C00,1.125052,0,0
10.2917626770206,C00,0.7469937,0,0
10.39168270301109,C00,0.634605,0,0
10.49160272900158,C00,1.337873,0,0
10.59152275499208,C00,3.200126,0,0
10.69144278098257,C00,3.806335,0,0
10.79136280697306,C00,2.998228,0,0
10.89128283296355,C00,3.056938,0,0
10.99120285895404,C00,2.884224,0,0
11.09112288494453,C00,2.743603,0,0
11.19104291093502,C00,2.357786,0,0
11.29096293692552,C00,2.195574,0,0
11.39088296291601,C00,2.281802,0,0
11.4908029889065,C00,1.359245,0,0
11.59072301489699,C00,1.788856,0,0
11.69064304088748,C00,1.377997,0,0
11.79056306687797,C00,1.529415,0,0
11.89048309286846,C00,1.517002,0,0
11.99040311885895,C00,1.428325,0,0
12.09032314484945,C00,1.186818,0,0
12.19024317083994,C00,1.51923,0,0
12.29016319683043,C00,0.5829607,0,0
12.39008322282092,C00,1.49558,0,0
12.49000324881141,C00,0.4051258,0,0
12.5899232748019,C00,0.6964374,0,0
12.68984330079239,C00,0.945466,0,0
12.78976332678288,C00,2.249971,0,0
12.88968335277337,C00,2.779434,0,0
12.98960337876387,C00,3.858127,0,0
13.08952340475436,C00,4.422165,0,0
13.18944343074485,C00,5.453382,0,0
13.28936345673534,C00,5.194837,0,0
13.38928348272583,C00,5.522957,0,0
13.48920350871632,C00,4.005053,0,0
13.58912353470681,C00,3.445083,0,0
13.68904356069731,C00,3.373966,0,0
13.7889635866878,C00,5.365204,0,0
13.88888361267829,C00,3.922742,0,0
13.98880363866878,C00,3.972375,0,0
14.08872366465927,C00,3.098742,0,0
14.18864369064976,C00,3.324756,0,0
14.28856371664025,C00,3.054844,0,0
14.38848374263075,C00,2.21855,0,0
14.48840376862124,C00,4.415347,0,0
14.58832379461173,C00,11.20224,0,0
14.68824382060222,C00,8.901673,0,0
14.78816384659271,C00,8.085951,0,0
14.8880838725832,C00,7.241652,0,0
14.98800389857369,C00,7.576515,0,0
15.08792392456418,C00,8.866946,0,0
15.18784395055468,C00,7.572571,0,0
15.28776397654517,C00,7.74797,0,0
