Time,Cell,F,licking,lickpoint
0.0,C00,20.6647,0,0
0.0999200887728459,C00,20.18441,0,0
0.1998401775456919,C00,19.66937,0,0
0.2997602663185379,C00,18.0127,0,0
0.3996803550913838,C00,17.03946,0,0
0.4996004438642297,C00,20.99051,0,0
0.5995205326370757,C00,23.08831,0,0
0.6994406214099217,C00,24.31843,0,0
0.7993607101827677,C00,21.97162,0,0
0.8992807989556135,C00,20.38742,1,1
0.9992008877284596,C00,21.28804,1,0
1.099120976501305,C00,20.18151,1,0
1.199041065274151,C00,19.45172,1,0
1.298961154046997,C00,18.69066,0,0
1.398881242819843,C00,18.76674,0,0
1.498801331592689,C00,18.51415,0,0
1.598721420365535,C00,18.23545,0,0
1.698641509138381,C00,17.76199,0,0
1.798561597911227,C00,17.59917,0,0
1.898481686684073,C00,17.97955,0,0
1.998401775456919,C00,17.53161,0,0
2.098321864229765,C00,17.94076,0,0
2.198241953002611,C00,16.52993,0,0
2.298162041775457,C00,17.00951,0,0
2.398082130548303,C00,16.14238,0,0
2.498002219321149,C00,16.16462,0,0
2.597922308093995,C00,16.94711,0,0
2.697842396866841,C00,16.45406,0,0
2.797762485639687,C00,16.95461,0,0
2.897682574412533,C00,16.42909,0,0
2.997602663185379,C00,15.48532,0,0
3.097522751958225,C00,15.97105,0,0
3.197442840731071,C00,17.43928,0,0
3.297362929503917,C00,15.4737,0,0
3.397283018276763,C00,14.42629,0,0
3.497203107049609,C00,16.41053,0,0
3.597123195822454,C00,15.50527,0,0
3.6970432845953,C00,15.30563,0,0
3.796963373368146,C00,15.60564,0,0
3.896883462140992,C00,15.74758,0,0
3.996803550913838,C00,15.49218,0,0
4.096723639686684,C00,16.60693,0,0
4.19664372845953,C00,15.27494,0,0
4.296563817232376,C00,16.805,0,0
4.396483906005222,C00,16.66993,0,0
4.496403994778068,C00,16.63791,0,0
4.596324083550914,C00,15.79253,0,0
4.69624417232376,C00,15.18362,0,0
4.796164261096606,C00,15.59967,0,0
4.896084349869452,C00,15.7292,0,0
4.996004438642298,C00,15.13647,0,0
5.095924527415144,C00,16.75745,0,0
5.19584461618799,C00,17.18607,0,0
5.295764704960836,C00,15.31663,0,0
5.395684793733682,C00,15.21496,0,0
5.495604882506528,C00,19.05311,0,0
5.595524971279374,C00,20.48887,0,0
5.69544506005222,C00,16.80158,0,0
5.795365148825065,C00,17.10561,0,0
5.895285237597911,C00,16.61975,0,0
