Time,Cell,F,lick,lickpoint,licking
0.0999199999999999, C04,0.0,0,0,
0.19984, C04,0.0,0,0,
0.29976, C04,0.0,0,0,
0.39968, C04,0.0,0,0,
0.4996, C04,0.0,0,0,
0.59952, C04,0.0,0,0,
0.69944, C04,0.0,0,0,
0.79936, C04,0.0,0,0,
0.89928, C04,0.0,0,0,
0.9992, C04,0.0,0,0,
1.09912, C04,0.0,0,0,
1.19904, C04,0.0,0,0,
1.29896, C04,0.0,0,0,
1.39888, C04,0.0,0,0,
1.4988, C04,0.0,0,0,
1.59872, C04,0.0,0,0,
1.69864, C04,0.0,0,0,
1.79856, C04,0.0,0,0,
1.89848, C04,0.0,0,0,
1.9984, C04,0.0,0,0,
2.09832, C04,0.0,0,0,
2.19824, C04,0.0,0,0,
2.29816, C04,0.0,0,0,
2.39808, C04,0.0,0,0,
2.498, C04,0.0,0,0,
2.59792, C04,0.0,0,0,
2.69784, C04,0.0,0,0,
2.79776, C04,0.0,0,0,
2.89768, C04,3.144759,0,0,
2.9976, C04,0.0,0,0,
3.09752, C04,0.0,0,0,
3.19744, C04,9.527686,0,0,
3.29736, C04,3.354391,0,0,
3.39728, C04,0.0,0,0,
3.4972, C04,0.0,0,0,
3.59712, C04,0.0,0,0,
3.69704, C04,0.0,0,0,
3.79696, C04,0.0,0,0,
3.89688, C04,0.0,0,0,
3.9968, C04,5.426687,0,0,
4.09672, C04,11.10554,0,0,
4.19664, C04,3.152645,0,0,
4.29656, C04,5.201248,0,0,
4.39648, C04,0.0,0,0,
4.4964, C04,3.710833,0,0,
4.59632, C04,0.0,0,0,
4.69624, C04,0.0,0,0,
4.79616, C04,4.97266,0,0,
4.89608, C04,8.602417,0,0,
4.996, C04,4.617128,0,0,
5.09592, C04,0.0,0,0,
5.19584, C04,0.0,0,0,
5.29576, C04,0.0,0,0,
5.39568, C04,0.0,0,0,
5.4956, C04,0.0,0,0,
5.59552, C04,0.0,0,0,
5.69544, C04,0.0,0,0,
5.79536, C04,0.0,0,0,
5.89528, C04,0.0,0,0,
5.9952, C04,0.0,0,0,
6.09512, C04,0.0,0,0,
6.19504, C04,0.0,0,0,
6.29496, C04,0.0,0,0,
6.39488, C04,0.0,0,0,
6.4948, C04,0.0,0,0,
6.59472, C04,0.0,0,0,
6.69464, C04,0.0,0,0,
6.79456, C04,0.0,0,0,
6.89448, C04,0.0,0,0,
6.9944, C04,0.0,0,0,
7.09432, C04,0.0,0,0,
7.19424, C04,0.0,0,0,
7.29416, C04,0.0,0,0,
7.39408, C04,0.0,0,0,
7.494, C04,0.0,0,0,
7.59392, C04,0.0,0,0,
7.69384, C04,0.0,0,0,
7.79376, C04,0.0,0,0,
7.89368, C04,0.0,0,0,
7.9936, C04,0.0,0,0,
8.09352, C04,0.0,0,0,
8.19344, C04,0.0,0,0,
8.29336, C04,0.0,0,0,
8.39328, C04,0.0,0,0,
8.4932, C04,0.0,0,0,
8.59312, C04,0.0,0,0,
8.69304, C04,0.0,0,0,
8.79296, C04,0.0,0,0,
8.89288, C04,0.0,0,0,
8.9928, C04,0.0,0,0,
9.09272, C04,0.0,0,0,
9.19264, C04,0.0,0,0,
9.29256, C04,0.0,0,0,
9.39248, C04,0.0,0,0,
9.4924, C04,0.0,0,0,
9.59232, C04,0.0,0,0,
9.69224, C04,0.0,0,0,
9.79216, C04,0.0,0,0,
9.89208, C04,0.0,0,0,
9.992, C04,0.0,0,0,
10.09192, C04,0.0,0,0,
10.19184, C04,0.0,0,0,
10.29176, C04,4.873786,0,0,
10.39168, C04,0.0,0,0,
10.4916, C04,0.0,0,0,
10.59152, C04,0.0,0,0,
10.69144, C04,0.0,0,0,
10.79136, C04,0.0,0,0,
10.89128, C04,0.0,0,0,
10.9912, C04,0.0,0,0,
11.09112, C04,0.0,0,0,
11.19104, C04,0.0,0,0,
11.29096, C04,0.0,0,0,
11.39088, C04,0.0,0,0,
11.4908, C04,0.0,0,0,
11.59072, C04,0.0,0,0,
11.69064, C04,0.0,0,0,
11.79056, C04,0.0,0,0,
11.89048, C04,0.0,0,0,
11.9904, C04,0.0,0,0,
12.09032, C04,0.0,0,0,
12.19024, C04,0.0,0,0,
12.29016, C04,0.0,0,0,
12.39008, C04,0.0,0,0,
12.49, C04,0.0,0,0,
12.58992, C04,0.0,0,0,
12.68984, C04,0.0,0,0,
12.78976, C04,0.0,0,0,
12.88968, C04,0.0,0,0,
12.9896, C04,0.0,0,0,
13.08952, C04,0.0,0,0,
13.18944, C04,0.0,0,0,
13.28936, C04,0.0,0,0,
13.38928, C04,0.0,0,0,
13.4892, C04,0.0,0,0,
13.58912, C04,0.0,0,0,
13.68904, C04,0.0,0,0,
13.78896, C04,0.0,0,0,
13.88888, C04,0.0,0,0,
13.9888, C04,0.0,0,0,
14.08872, C04,0.0,0,0,
14.18864, C04,0.0,0,0,
14.28856, C04,0.0,0,0,
14.38848, C04,0.0,0,0,
14.4884, C04,0.0,0,0,
14.58832, C04,0.0,0,0,
14.68824, C04,0.0,0,0,
14.78816, C04,0.0,0,0,
14.88808, C04,0.0,0,0,
14.988, C04,0.0,0,0,
15.08792, C04,0.0,0,0,
15.18784, C04,0.0,0,0,
15.28776, C04,0.0,0,0,
