Time,Cell,F,licking,lickpoint
0.0,C01,3.766595,0,0
0.0999200399740006,C01,2.488393,0,0
0.1998400799480013,C01,3.179239,0,0
0.299760119922002,C01,2.886417,0,0
0.3996801598960026,C01,3.152472,0,0
0.4996001998700033,C01,2.474314,0,0
0.5995202398440039,C01,1.642972,0,0
0.6994402798180045,C01,2.990864,0,0
0.7993603197920052,C01,3.628171,0,0
0.8992803597660058,C01,2.298389,0,0
0.9992003997400064,C01,2.804088,0,0
1.099120439714007,C01,2.93773,0,0
1.199040479688008,C01,3.224991,0,0
1.298960519662008,C01,1.992479,0,0
1.398880559636009,C01,0.9802973,0,0
1.49880059961001,C01,2.038556,0,0
1.59872063958401,C01,1.435724,0,0
1.698640679558011,C01,3.390747,0,0
1.798560719532012,C01,2.748394,0,0
1.898480759506012,C01,2.777744,0,0
1.998400799480013,C01,3.871871,0,0
2.098320839454014,C01,3.703256,0,0
2.198240879428014,C01,3.682022,0,0
2.298160919402015,C01,2.879668,0,0
2.398080959376016,C01,2.541996,0,0
2.498000999350016,C01,3.203479,0,0
2.597921039324017,C01,5.137709,0,0
2.697841079298017,C01,4.659409,0,0
2.797761119272018,C01,2.686993,0,0
2.897681159246019,C01,1.487192,0,0
2.99760119922002,C01,2.990928,0,0
3.09752123919402,C01,4.432766,0,0
3.197441279168021,C01,2.480451,0,0
3.297361319142021,C01,1.806062,0,0
3.397281359116022,C01,0.8364523,0,0
3.497201399090023,C01,2.031235,0,0
3.597121439064023,C01,2.516731,0,0
3.697041479038024,C01,4.093599,0,0
3.796961519012024,C01,2.129031,0,0
3.896881558986026,C01,1.693386,0,0
3.996801598960026,C01,0.8124739,0,0
4.096721638934027,C01,0.2688759,0,0
4.196641678908027,C01,2.915618,0,0
4.296561718882028,C01,2.64154,0,0
4.396481758856028,C01,1.290853,0,0
4.496401798830029,C01,2.505135,0,0
4.59632183880403,C01,1.992645,0,0
4.69624187877803,C01,1.698481,0,0
4.796161918752031,C01,0.9526542,0,0
4.896081958726032,C01,1.283711,0,0
4.996001998700033,C01,2.153466,0,0
5.095922038674033,C01,-0.1797928,0,0
5.195842078648034,C01,1.419484,0,0
5.295762118622035,C01,1.373334,0,0
5.395682158596035,C01,1.260694,0,0
5.495602198570036,C01,3.049695,0,0
5.595522238544036,C01,4.0164,0,0
5.695442278518037,C01,2.087715,0,0
5.795362318492038,C01,1.495161,0,0
5.895282358466038,C01,-0.3710977,0,0
5.995202398440039,C01,-0.03323658,0,0
6.095122438414039,C01,1.813017,0,0
6.19504247838804,C01,3.261764,0,0
6.294962518362041,C01,4.222746,0,0
6.394882558336041,C01,3.308954,0,0
6.494802598310042,C01,2.807773,0,0
6.594722638284042,C01,4.655136,0,0
6.694642678258043,C01,2.854681,0,0
6.794562718232044,C01,3.522532,0,0
6.894482758206045,C01,2.593278,0,0
6.994402798180046,C01,2.661906,0,0
7.094322838154046,C01,3.605184,0,0
7.194242878128047,C01,3.079392,0,0
7.294162918102048,C01,3.344086,0,0
7.394082958076048,C01,1.805203,0,0
7.494002998050049,C01,2.4153,0,0
7.593923038024049,C01,0.6205685,0,0
7.69384307799805,C01,0.3179286,0,0
