Time,Cell,F,biteing,bitepoint,biting
0.0,C025,1.834956,0,0,
0.0999201765543426,C025,1.429702,0,0,
0.1998403531086853,C025,-0.4034975,0,0,
0.299760529663028,C025,0.991968,0,0,
0.3996807062173707,C025,-0.3378729,0,0,
0.4996008827717133,C025,0.7828333,0,0,
0.599521059326056,C025,-0.05793675,0,0,
0.6994412358803986,C025,0.1071204,0,0,
0.7993614124347413,C025,0.9212874,0,0,
0.8992815889890841,C025,0.3889592,0,0,
0.9992017655434268,C025,-0.3590465,0,0,
1.099121942097769,C025,0.7367905,0,0,
1.199042118652112,C025,0.26243,0,0,
1.298962295206455,C025,1.556173,0,0,
1.398882471760797,C025,0.2500412,0,0,
1.49880264831514,C025,0.3387812,0,0,
1.598722824869483,C025,-1.420092,0,0,
1.698643001423825,C025,0.1706431,0,0,
1.798563177978168,C025,0.6897584,0,0,
1.898483354532511,C025,-0.2788679,0,0,
1.998403531086853,C025,-0.07393377,0,0,
2.098323707641196,C025,0.02714987,0,0,
2.198243884195539,C025,-0.57937,0,0,
2.298164060749881,C025,0.714411,0,0,
2.398084237304224,C025,1.416477,0,0,
2.498004413858567,C025,0.4205693,0,0,
2.597924590412909,C025,2.288023,0,0,
2.697844766967252,C025,-0.4953642,0,0,
2.797764943521595,C025,-0.3882472,0,0,
2.897685120075937,C025,0.6845921,0,0,
2.99760529663028,C025,-0.05063895,0,0,
3.097525473184623,C025,1.273371,0,0,
3.197445649738965,C025,1.234652,0,0,
3.297365826293308,C025,-0.8162006,0,0,
3.397286002847651,C025,0.4135439,0,0,
3.497206179401994,C025,-0.8334788,0,0,
3.597126355956336,C025,1.59916,0,0,
3.697046532510678,C025,2.730632,0,0,
3.796966709065021,C025,0.1352996,0,0,
3.896886885619364,C025,0.8198835,0,0,
3.996807062173707,C025,-0.5335722,0,0,
4.096727238728049,C025,0.340592,0,0,
4.196647415282392,C025,2.432988,0,0,
4.296567591836735,C025,0.5576788,0,0,
4.396487768391077,C025,0.9038271,0,0,
4.49640794494542,C025,-0.220686,0,0,
4.596328121499763,C025,-0.6294376,0,0,
4.696248298054106,C025,-1.256934,0,0,
4.796168474608448,C025,-0.2208186,0,0,
4.896088651162791,C025,1.382981,0,0,
4.996008827717134,C025,1.776228,0,0,
5.095929004271476,C025,-1.273719,0,0,
5.195849180825818,C025,-0.4669972,0,0,
5.295769357380161,C025,0.1648275,0,0,
5.395689533934504,C025,-0.44586,0,0,
5.495609710488846,C025,-0.4152326,0,0,
5.595529887043189,C025,0.4076223,0,0,
5.695450063597532,C025,0.1285909,0,0,
5.795370240151875,C025,-0.2448173,0,0,
5.895290416706217,C025,-0.3660025,0,0,
5.99521059326056,C025,-0.4522434,0,0,
6.095130769814903,C025,-1.266016,0,0,
6.195050946369245,C025,-0.05167955,0,0,
6.294971122923588,C025,0.5790401,0,0,
6.394891299477931,C025,0.2764048,0,0,
6.494811476032273,C025,-0.4161247,0,0,
6.594731652586616,C025,-1.007957,0,0,
6.694651829140959,C025,-0.414572,0,0,
6.794572005695302,C025,-0.06535029,0,0,
6.894492182249644,C025,1.192366,0,0,
6.994412358803987,C025,-0.9034913,0,0,
7.09433253535833,C025,0.4046032,0,0,
7.194252711912672,C025,0.7179279,0,0,
7.294172888467014,C025,-1.48701,0,0,
7.394093065021357,C025,-0.8956763,0,0,
7.4940132415757,C025,-0.2041299,0,0,
