Time,Cell,F,lick,lickpoint,licking
0.0,C000,6.153504,0,0,
0.0999201345093715,C000,13.91295,0,0,
0.1998402690187431,C000,15.31983,0,0,
0.2997604035281147,C000,12.58246,0,0,
0.3996805380374862,C000,15.44836,0,0,
0.4996006725468577,C000,12.95301,0,0,
0.5995208070562293,C000,12.51596,0,0,
0.6994409415656009,C000,9.822008,0,0,
0.7993610760749724,C000,12.13774,0,0,
0.899281210584344,C000,14.96168,0,0,
0.9992013450937156,C000,14.78702,0,0,
1.099121479603087,C000,13.03796,0,0,
1.199041614112459,C000,13.24237,0,0,
1.29896174862183,C000,12.996,0,0,
1.398881883131202,C000,14.17754,0,0,
1.498802017640573,C000,14.24812,0,0,
1.598722152149945,C000,12.84376,0,0,
1.698642286659316,C000,13.06304,0,0,
1.798562421168688,C000,12.06181,0,0,
1.89848255567806,C000,13.04343,0,0,
1.998402690187431,C000,13.47157,0,0,
2.098322824696802,C000,14.60339,0,0,
2.198242959206174,C000,13.27385,0,0,
2.298163093715546,C000,13.39787,0,0,
2.398083228224917,C000,12.62921,0,0,
2.498003362734289,C000,13.30073,0,0,
2.59792349724366,C000,12.83802,0,0,
2.697843631753032,C000,12.49089,0,0,
2.797763766262404,C000,13.32201,0,0,
2.897683900771775,C000,15.76473,0,0,
2.997604035281147,C000,16.7538,0,0,
3.097524169790518,C000,15.67756,0,0,
3.19744430429989,C000,13.82825,0,0,
3.297364438809261,C000,15.137,0,0,
3.397284573318633,C000,15.88276,0,0,
3.497204707828004,C000,14.86937,0,0,
3.597124842337376,C000,14.58322,0,0,
3.697044976846747,C000,16.22951,0,0,
3.796965111356119,C000,16.37131,0,0,
3.896885245865491,C000,15.77709,0,0,
3.996805380374862,C000,12.69576,0,0,
4.096725514884234,C000,16.4629,0,0,
4.196645649393605,C000,16.70289,0,0,
4.296565783902976,C000,16.72693,0,0,
4.396485918412348,C000,18.18646,0,0,
4.49640605292172,C000,16.77174,0,0,
4.596326187431091,C000,17.31269,0,0,
4.696246321940463,C000,16.43337,0,0,
4.796166456449835,C000,16.54909,0,0,
4.896086590959206,C000,14.28271,0,0,
4.996006725468578,C000,14.92549,0,0,
5.09592685997795,C000,16.22243,0,0,
5.19584699448732,C000,14.08619,0,0,
5.295767128996692,C000,13.01015,0,0,
5.395687263506064,C000,12.53929,0,0,
5.495607398015435,C000,15.4071,0,0,
5.595527532524807,C000,15.01947,0,0,
5.695447667034179,C000,15.39562,0,0,
5.79536780154355,C000,15.19896,0,0,
5.895287936052922,C000,15.37002,0,0,
5.995208070562294,C000,14.89637,0,0,
6.095128205071664,C000,13.24089,0,0,
6.195048339581036,C000,16.41049,0,0,
6.294968474090408,C000,15.57508,0,0,
6.394888608599779,C000,15.14884,0,0,
6.494808743109151,C000,18.52377,0,0,
6.594728877618523,C000,17.16696,0,0,
6.694649012127894,C000,20.7838,0,0,
6.794569146637266,C000,17.46826,0,0,
6.894489281146638,C000,17.2798,0,0,
6.994409415656008,C000,18.59989,0,0,
7.09432955016538,C000,28.77356,0,0,
7.194249684674752,C000,37.25682,0,0,
7.294169819184123,C000,58.77121,0,0,
7.394089953693495,C000,67.32436,0,0,
7.494010088202867,C000,65.44872,0,0,
7.593930222712238,C000,64.95569,0,0,
7.69385035722161,C000,61.81163,0,0,
7.793770491730982,C000,45.54783,0,0,
7.893690626240353,C000,41.8124,0,0,
7.993610760749724,C000,40.43583,0,0,
8.093530895259097,C000,33.1977,0,0,
8.193451029768468,C000,36.19095,0,0,
8.29337116427784,C000,37.33043,0,0,
8.39329129878721,C000,39.17156,0,0,
8.493211433296581,C000,40.87409,0,0,
8.593131567805953,C000,37.35147,0,0,
8.693051702315325,C000,33.77183,0,0,
8.792971836824696,C000,31.59329,0,0,
8.892891971334068,C000,30.10711,0,0,
8.99281210584344,C000,29.19532,0,0,
9.092732240352811,C000,27.12692,0,0,
9.192652374862185,C000,27.07464,0,0,
9.292572509371556,C000,27.79926,0,0,
9.392492643880926,C000,25.75523,0,0,
9.492412778390298,C000,21.43035,0,0,
9.592332912899668,C000,21.21643,0,0,
9.69225304740904,C000,23.97219,0,0,
9.792173181918413,C000,26.57582,0,0,
9.892093316427784,C000,27.88744,0,0,
9.992013450937156,C000,29.00611,0,0,
10.09193358544653,C000,28.24076,0,0,
10.1918537199559,C000,25.00772,0,0,
10.29177385446527,C000,26.74944,0,0,
10.39169398897464,C000,26.80107,0,0,
10.49161412348401,C000,27.69403,0,0,
10.59153425799338,C000,27.3346,0,0,
10.69145439250276,C000,26.45361,0,0,
10.79137452701213,C000,22.34626,0,0,
10.8912946615215,C000,20.43447,0,0,
10.99121479603087,C000,18.50339,0,0,
11.09113493054024,C000,22.96011,0,0,
11.19105506504961,C000,21.67695,0,0,
11.29097519955899,C000,23.86777,0,0,
11.39089533406836,C000,24.93377,0,0,
11.49081546857773,C000,21.94656,0,0,
11.5907356030871,C000,21.07345,0,0,
11.69065573759647,C000,19.73624,0,0,
11.79057587210584,C000,17.43067,0,0,
11.89049600661522,C000,18.45988,0,0,
11.99041614112459,C000,19.21737,0,0,
12.09033627563396,C000,18.3208,0,0,
12.19025641014333,C000,18.5568,0,0,
12.2901765446527,C000,17.5936,0,0,
12.39009667916207,C000,19.85227,0,0,
12.49001681367144,C000,19.75803,0,0,
12.58993694818082,C000,19.33353,0,0,
12.68985708269019,C000,16.97483,0,0,
12.78977721719956,C000,21.60114,0,0,
12.88969735170893,C000,16.37607,0,0,
12.9896174862183,C000,18.61463,0,0,
13.08953762072767,C000,19.28001,0,0,
13.18945775523705,C000,18.89154,0,0,
13.28937788974642,C000,18.91255,0,0,
13.38929802425579,C000,20.4383,0,0,
13.48921815876516,C000,13.95328,0,0,
13.58913829327453,C000,19.24546,0,0,
13.6890584277839,C000,20.21348,0,0,
13.78897856229328,C000,20.68309,0,0,
13.88889869680265,C000,16.31092,0,0,
13.98881883131202,C000,16.63165,0,0,
14.08873896582139,C000,14.59012,0,0,
14.18865910033076,C000,18.41245,0,0,
14.28857923484013,C000,17.29204,0,0,
14.3884993693495,C000,18.68189,0,0,
14.48841950385888,C000,18.61322,0,0,
14.58833963836825,C000,18.366,0,0,
14.68825977287762,C000,15.73256,0,0,
14.78817990738699,C000,14.57881,0,0,
14.88810004189636,C000,14.98038,0,0,
14.98802017640573,C000,16.47836,0,0,
15.0879403109151,C000,16.16411,0,0,
15.18786044542448,C000,15.51057,0,0,
15.28778057993385,C000,14.28638,0,0,
15.38770071444322,C000,14.16235,0,0,
15.48762084895259,C000,13.35068,0,0,
15.58754098346196,C000,14.6362,0,0,
15.68746111797133,C000,13.02279,0,0,
15.78738125248071,C000,15.10354,0,0,
15.88730138699008,C000,15.27624,0,0,
15.98722152149945,C000,14.95879,0,0,
16.08714165600882,C000,15.14762,0,0,
16.18706179051819,C000,16.82681,0,0,
16.28698192502756,C000,15.45045,0,0,
16.38690205953694,C000,15.83027,0,0,
16.48682219404631,C000,14.52046,0,0,
16.58674232855568,C000,14.44702,0,0,
16.68666246306505,C000,16.29968,0,0,
16.78658259757442,C000,14.44869,0,0,
16.88650273208379,C000,13.93092,0,0,
