active_number,total_number,group
21,22,"('2023', 'quinine')"
24,38,"('2023', 'strawberry')"
32,38,"('2023', 'strawberry')"
24,38,"('2023', 'strawberry')"
21,38,"('2023', 'strawberry')"
26,38,"('2023', 'strawberry')"
24,38,"('2023', 'strawberry')"
25,38,"('2023', 'strawberry')"
29,38,"('2023', 'strawberry')"
21,38,"('2023', 'strawberry')"
18,38,"('2023', 'strawberry')"
17,38,"('2023', 'strawberry')"
15,20,"('2023', 'vanilla')"
14,20,"('2023', 'vanilla')"
16,20,"('2023', 'vanilla')"
15,20,"('2023', 'vanilla')"
15,20,"('2023', 'vanilla')"
18,20,"('2023', 'vanilla')"
17,20,"('2023', 'vanilla')"
11,20,"('2023', 'vanilla')"
9,20,"('2023', 'vanilla')"
11,20,"('2023', 'vanilla')"
12,20,"('2023', 'vanilla')"
25,30,"('2023', 'water')"
15,30,"('2023', 'water')"
16,30,"('2023', 'water')"
22,30,"('2023', 'water')"
16,30,"('2023', 'water')"
18,30,"('2023', 'water')"
26,30,"('2023', 'water')"
11,30,"('2023', 'water')"
17,53,"('2097', 'chocolate')"
24,53,"('2097', 'chocolate')"
23,53,"('2097', 'chocolate')"
16,53,"('2097', 'chocolate')"
16,53,"('2097', 'chocolate')"
12,53,"('2097', 'chocolate')"
22,53,"('2097', 'chocolate')"
25,53,"('2097', 'chocolate')"
25,53,"('2097', 'chocolate')"
24,53,"('2097', 'chocolate')"
26,53,"('2097', 'chocolate')"
23,53,"('2097', 'chocolate')"
28,53,"('2097', 'chocolate')"
25,53,"('2097', 'chocolate')"
15,53,"('2097', 'chocolate')"
40,53,"('2097', 'chocolate')"
23,53,"('2097', 'chocolate')"
16,28,"('2097', 'quinine')"
15,28,"('2097', 'quinine')"
10,28,"('2097', 'quinine')"
12,28,"('2097', 'quinine')"
13,28,"('2097', 'quinine')"
17,28,"('2097', 'quinine')"
16,28,"('2097', 'quinine')"
20,28,"('2097', 'quinine')"
18,28,"('2097', 'quinine')"
17,28,"('2097', 'quinine')"
17,28,"('2097', 'quinine')"
16,28,"('2097', 'quinine')"
17,28,"('2097', 'quinine')"
15,29,"('2097', 'strawberry')"
23,29,"('2097', 'strawberry')"
11,29,"('2097', 'strawberry')"
10,29,"('2097', 'strawberry')"
15,25,"('2097', 'vanilla')"
21,25,"('2097', 'vanilla')"
14,25,"('2097', 'vanilla')"
20,25,"('2097', 'vanilla')"
23,25,"('2097', 'vanilla')"
22,25,"('2097', 'vanilla')"
16,25,"('2097', 'vanilla')"
15,25,"('2097', 'vanilla')"
11,20,"('2097', 'water')"
8,20,"('2097', 'water')"
11,20,"('2097', 'water')"
12,20,"('2097', 'water')"
8,20,"('2097', 'water')"
8,20,"('2097', 'water')"
12,20,"('2097', 'water')"
31,47,"('2099', 'chocolate')"
38,47,"('2099', 'chocolate')"
32,47,"('2099', 'chocolate')"
30,47,"('2099', 'chocolate')"
26,47,"('2099', 'chocolate')"
35,47,"('2099', 'chocolate')"
18,47,"('2099', 'chocolate')"
23,47,"('2099', 'chocolate')"
26,47,"('2099', 'chocolate')"
32,47,"('2099', 'chocolate')"
27,47,"('2099', 'chocolate')"
39,47,"('2099', 'chocolate')"
21,47,"('2099', 'quinine')"
31,47,"('2099', 'quinine')"
27,47,"('2099', 'quinine')"
21,47,"('2099', 'quinine')"
35,47,"('2099', 'quinine')"
23,47,"('2099', 'quinine')"
13,47,"('2099', 'quinine')"
30,47,"('2099', 'quinine')"
32,47,"('2099', 'quinine')"
27,47,"('2099', 'quinine')"
17,47,"('2099', 'quinine')"
23,47,"('2099', 'quinine')"
33,59,"('2099', 'strawberry')"
38,59,"('2099', 'strawberry')"
42,59,"('2099', 'strawberry')"
34,59,"('2099', 'strawberry')"
28,36,"('2099', 'vanilla')"
21,36,"('2099', 'vanilla')"
15,36,"('2099', 'vanilla')"
20,36,"('2099', 'vanilla')"
15,36,"('2099', 'vanilla')"
20,36,"('2099', 'vanilla')"
11,36,"('2099', 'vanilla')"
19,36,"('2099', 'vanilla')"
23,39,"('2099', 'water')"
