active_number,total_number,group
2,29,"('2097', 'strawberry')"
0,29,"('2097', 'strawberry')"
7,25,"('2097', 'vanilla')"
6,25,"('2097', 'vanilla')"
12,25,"('2097', 'vanilla')"
14,25,"('2097', 'vanilla')"
5,25,"('2097', 'vanilla')"
9,25,"('2097', 'vanilla')"
2,20,"('2097', 'water')"
2,20,"('2097', 'water')"
3,20,"('2097', 'water')"
4,20,"('2097', 'water')"
3,20,"('2097', 'water')"
19,47,"('2099', 'chocolate')"
25,47,"('2099', 'chocolate')"
13,47,"('2099', 'chocolate')"
16,47,"('2099', 'chocolate')"
4,47,"('2099', 'chocolate')"
5,47,"('2099', 'chocolate')"
13,47,"('2099', 'chocolate')"
17,47,"('2099', 'chocolate')"
25,47,"('2099', 'chocolate')"
12,47,"('2099', 'quinine')"
5,47,"('2099', 'quinine')"
3,47,"('2099', 'quinine')"
12,47,"('2099', 'quinine')"
3,47,"('2099', 'quinine')"
5,47,"('2099', 'quinine')"
10,47,"('2099', 'quinine')"
4,47,"('2099', 'quinine')"
3,47,"('2099', 'quinine')"
22,59,"('2099', 'strawberry')"
24,59,"('2099', 'strawberry')"
15,59,"('2099', 'strawberry')"
13,36,"('2099', 'vanilla')"
7,36,"('2099', 'vanilla')"
4,36,"('2099', 'vanilla')"
8,36,"('2099', 'vanilla')"
6,36,"('2099', 'vanilla')"
11,36,"('2099', 'vanilla')"
7,39,"('2099', 'water')"
5,39,"('2099', 'water')"
11,39,"('2099', 'water')"
11,12,"('2107', 'chocolate')"
8,12,"('2107', 'chocolate')"
2,12,"('2107', 'chocolate')"
4,12,"('2107', 'chocolate')"
4,12,"('2107', 'chocolate')"
0,11,"('2107', 'quinine')"
1,11,"('2107', 'quinine')"
5,11,"('2107', 'quinine')"
3,7,"('2107', 'strawberry')"
3,7,"('2107', 'strawberry')"
3,7,"('2107', 'strawberry')"
1,7,"('2107', 'strawberry')"
0,20,"('2107', 'vanilla')"
5,20,"('2107', 'vanilla')"
6,20,"('2107', 'vanilla')"
1,4,"('2107', 'water')"
2,4,"('2107', 'water')"
1,4,"('2107', 'water')"
1,4,"('2107', 'water')"
1,4,"('2107', 'water')"
8,18,"('3118', 'chocolate')"
8,18,"('3118', 'chocolate')"
1,18,"('3118', 'chocolate')"
2,18,"('3118', 'chocolate')"
3,18,"('3118', 'chocolate')"
0,18,"('3118', 'chocolate')"
2,18,"('3118', 'chocolate')"
4,18,"('3118', 'chocolate')"
2,15,"('3118', 'quinine')"
4,15,"('3118', 'quinine')"
9,28,"('3118', 'strawberry')"
4,28,"('3118', 'strawberry')"
9,28,"('3118', 'strawberry')"
5,28,"('3118', 'strawberry')"
9,28,"('3118', 'strawberry')"
2,15,"('3118', 'vanilla')"
3,15,"('3118', 'vanilla')"
4,15,"('3118', 'vanilla')"
9,17,"('3118', 'water')"
4,17,"('3118', 'water')"
3,17,"('3118', 'water')"
0,7,"('3141', 'chocolate')"
2,7,"('3141', 'chocolate')"
0,7,"('3141', 'chocolate')"
0,7,"('3141', 'chocolate')"
0,7,"('3141', 'chocolate')"
3,9,"('3141', 'quinine')"
0,9,"('3141', 'quinine')"
1,9,"('3141', 'quinine')"
1,9,"('3141', 'quinine')"
1,10,"('3141', 'strawberry')"
1,10,"('3141', 'strawberry')"
2,10,"('3141', 'strawberry')"
2,8,"('3141', 'vanilla')"
4,8,"('3141', 'vanilla')"
3,8,"('3141', 'vanilla')"
3,9,"('3141', 'water')"
10,25,"('3152', 'chocolate')"
14,25,"('3152', 'chocolate')"
17,25,"('3152', 'chocolate')"
11,25,"('3152', 'chocolate')"
5,25,"('3152', 'chocolate')"
19,42,"('3152', 'quinine')"
14,42,"('3152', 'quinine')"
13,42,"('3152', 'quinine')"
8,42,"('3152', 'quinine')"
4,42,"('3152', 'quinine')"
13,19,"('3152', 'strawberry')"
12,19,"('3152', 'strawberry')"
13,19,"('3152', 'strawberry')"
12,19,"('3152', 'strawberry')"
7,19,"('3152', 'strawberry')"
12,23,"('3152', 'vanilla')"
7,23,"('3152', 'vanilla')"
11,23,"('3152', 'vanilla')"
3,23,"('3152', 'vanilla')"
3,21,"('3152', 'water')"
