active_number,total_number,group
16,20,"('2023', 'vanilla')"
18,20,"('2023', 'vanilla')"
17,20,"('2023', 'vanilla')"
20,20,"('2023', 'vanilla')"
18,20,"('2023', 'vanilla')"
19,20,"('2023', 'vanilla')"
13,20,"('2023', 'vanilla')"
13,20,"('2023', 'vanilla')"
14,20,"('2023', 'vanilla')"
16,20,"('2023', 'vanilla')"
29,30,"('2023', 'water')"
17,30,"('2023', 'water')"
22,30,"('2023', 'water')"
28,30,"('2023', 'water')"
28,30,"('2023', 'water')"
25,30,"('2023', 'water')"
28,30,"('2023', 'water')"
23,30,"('2023', 'water')"
32,53,"('2097', 'chocolate')"
33,53,"('2097', 'chocolate')"
37,53,"('2097', 'chocolate')"
31,53,"('2097', 'chocolate')"
25,53,"('2097', 'chocolate')"
26,53,"('2097', 'chocolate')"
29,53,"('2097', 'chocolate')"
34,53,"('2097', 'chocolate')"
36,53,"('2097', 'chocolate')"
36,53,"('2097', 'chocolate')"
34,53,"('2097', 'chocolate')"
36,53,"('2097', 'chocolate')"
43,53,"('2097', 'chocolate')"
38,53,"('2097', 'chocolate')"
30,53,"('2097', 'chocolate')"
49,53,"('2097', 'chocolate')"
32,53,"('2097', 'chocolate')"
22,28,"('2097', 'quinine')"
17,28,"('2097', 'quinine')"
19,28,"('2097', 'quinine')"
17,28,"('2097', 'quinine')"
19,28,"('2097', 'quinine')"
19,28,"('2097', 'quinine')"
21,28,"('2097', 'quinine')"
23,28,"('2097', 'quinine')"
20,28,"('2097', 'quinine')"
20,28,"('2097', 'quinine')"
23,28,"('2097', 'quinine')"
21,28,"('2097', 'quinine')"
22,28,"('2097', 'quinine')"
23,29,"('2097', 'strawberry')"
28,29,"('2097', 'strawberry')"
21,29,"('2097', 'strawberry')"
23,29,"('2097', 'strawberry')"
22,25,"('2097', 'vanilla')"
23,25,"('2097', 'vanilla')"
20,25,"('2097', 'vanilla')"
22,25,"('2097', 'vanilla')"
23,25,"('2097', 'vanilla')"
22,25,"('2097', 'vanilla')"
23,25,"('2097', 'vanilla')"
18,25,"('2097', 'vanilla')"
16,20,"('2097', 'water')"
11,20,"('2097', 'water')"
20,20,"('2097', 'water')"
15,20,"('2097', 'water')"
12,20,"('2097', 'water')"
11,20,"('2097', 'water')"
18,20,"('2097', 'water')"
40,47,"('2099', 'chocolate')"
44,47,"('2099', 'chocolate')"
39,47,"('2099', 'chocolate')"
42,47,"('2099', 'chocolate')"
35,47,"('2099', 'chocolate')"
39,47,"('2099', 'chocolate')"
29,47,"('2099', 'chocolate')"
37,47,"('2099', 'chocolate')"
40,47,"('2099', 'chocolate')"
38,47,"('2099', 'chocolate')"
35,47,"('2099', 'chocolate')"
43,47,"('2099', 'chocolate')"
34,47,"('2099', 'quinine')"
39,47,"('2099', 'quinine')"
35,47,"('2099', 'quinine')"
37,47,"('2099', 'quinine')"
40,47,"('2099', 'quinine')"
30,47,"('2099', 'quinine')"
27,47,"('2099', 'quinine')"
38,47,"('2099', 'quinine')"
38,47,"('2099', 'quinine')"
32,47,"('2099', 'quinine')"
26,47,"('2099', 'quinine')"
34,47,"('2099', 'quinine')"
45,59,"('2099', 'strawberry')"
44,59,"('2099', 'strawberry')"
46,59,"('2099', 'strawberry')"
46,59,"('2099', 'strawberry')"
32,36,"('2099', 'vanilla')"
28,36,"('2099', 'vanilla')"
22,36,"('2099', 'vanilla')"
26,36,"('2099', 'vanilla')"
24,36,"('2099', 'vanilla')"
25,36,"('2099', 'vanilla')"
23,36,"('2099', 'vanilla')"
23,36,"('2099', 'vanilla')"
30,39,"('2099', 'water')"
21,39,"('2099', 'water')"
33,39,"('2099', 'water')"
12,12,"('2107', 'chocolate')"
11,12,"('2107', 'chocolate')"
12,12,"('2107', 'chocolate')"
10,12,"('2107', 'chocolate')"
12,12,"('2107', 'chocolate')"
11,12,"('2107', 'chocolate')"
11,12,"('2107', 'chocolate')"
10,11,"('2107', 'quinine')"
11,11,"('2107', 'quinine')"
11,11,"('2107', 'quinine')"
6,7,"('2107', 'strawberry')"
6,7,"('2107', 'strawberry')"
7,7,"('2107', 'strawberry')"
7,7,"('2107', 'strawberry')"
7,7,"('2107', 'strawberry')"
15,20,"('2107', 'vanilla')"
18,20,"('2107', 'vanilla')"
19,20,"('2107', 'vanilla')"
4,4,"('2107', 'water')"
4,4,"('2107', 'water')"
4,4,"('2107', 'water')"
4,4,"('2107', 'water')"
4,4,"('2107', 'water')"
4,4,"('2107', 'water')"
13,18,"('3118', 'chocolate')"
14,18,"('3118', 'chocolate')"
11,18,"('3118', 'chocolate')"
15,18,"('3118', 'chocolate')"
10,18,"('3118', 'chocolate')"
13,18,"('3118', 'chocolate')"
15,18,"('3118', 'chocolate')"
10,18,"('3118', 'chocolate')"
11,18,"('3118', 'chocolate')"
14,18,"('3118', 'chocolate')"
13,18,"('3118', 'chocolate')"
8,15,"('3118', 'quinine')"
12,15,"('3118', 'quinine')"
24,28,"('3118', 'strawberry')"
25,28,"('3118', 'strawberry')"
22,28,"('3118', 'strawberry')"
25,28,"('3118', 'strawberry')"
23,28,"('3118', 'strawberry')"
23,28,"('3118', 'strawberry')"
10,15,"('3118', 'vanilla')"
14,15,"('3118', 'vanilla')"
13,15,"('3118', 'vanilla')"
13,15,"('3118', 'vanilla')"
15,17,"('3118', 'water')"
15,17,"('3118', 'water')"
9,17,"('3118', 'water')"
6,7,"('3141', 'chocolate')"
5,7,"('3141', 'chocolate')"
7,7,"('3141', 'chocolate')"
7,7,"('3141', 'chocolate')"
5,7,"('3141', 'chocolate')"
5,7,"('3141', 'chocolate')"
6,7,"('3141', 'chocolate')"
7,9,"('3141', 'quinine')"
5,9,"('3141', 'quinine')"
7,9,"('3141', 'quinine')"
7,9,"('3141', 'quinine')"
7,9,"('3141', 'quinine')"
9,10,"('3141', 'strawberry')"
6,10,"('3141', 'strawberry')"
10,10,"('3141', 'strawberry')"
7,8,"('3141', 'vanilla')"
8,8,"('3141', 'vanilla')"
6,8,"('3141', 'vanilla')"
6,9,"('3141', 'water')"
19,25,"('3152', 'chocolate')"
18,25,"('3152', 'chocolate')"
23,25,"('3152', 'chocolate')"
22,25,"('3152', 'chocolate')"
25,25,"('3152', 'chocolate')"
20,25,"('3152', 'chocolate')"
39,42,"('3152', 'quinine')"
37,42,"('3152', 'quinine')"
35,42,"('3152', 'quinine')"
36,42,"('3152', 'quinine')"
37,42,"('3152', 'quinine')"
37,42,"('3152', 'quinine')"
19,19,"('3152', 'strawberry')"
19,19,"('3152', 'strawberry')"
16,19,"('3152', 'strawberry')"
19,19,"('3152', 'strawberry')"
19,19,"('3152', 'strawberry')"
17,19,"('3152', 'strawberry')"
19,23,"('3152', 'vanilla')"
13,23,"('3152', 'vanilla')"
18,23,"('3152', 'vanilla')"
18,23,"('3152', 'vanilla')"
18,23,"('3152', 'vanilla')"
19,21,"('3152', 'water')"
